fit_origin,training_start,training_end,confirmation_start,confirmation_end,training_signal_origins,training_winner,no_factor_training_winner,no_factor_policy,primary_policy,feature_policy_accepted,internal_training_accounts,internal_confirmation_accounts,reason
2014-12-31,2012-12-31,2014-07-07,2014-07-08,2014-12-31,74,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2015-01-05,2013-01-04,2014-07-08,2014-07-09,2015-01-05,74,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2015-02-02,2013-02-01,2014-08-05,2014-08-06,2015-02-02,74,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2015-03-02,2013-03-01,2014-08-26,2014-08-27,2015-03-02,74,LOW_Q75,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2015-04-01,2013-04-02,2014-09-26,2014-09-29,2015-04-01,73,HIGH_Q25,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
2015-05-04,2013-05-08,2014-11-03,2014-11-04,2015-05-04,74,CASH,CASH,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2015-06-01,2013-06-05,2014-12-01,2014-12-02,2015-06-01,74,HIGH_Q25,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2015-07-01,2013-07-09,2014-12-30,2014-12-31,2015-07-01,73,LOW_Q75,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2015-08-03,2013-08-09,2015-02-03,2015-02-04,2015-08-03,73,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2015-09-01,2013-09-09,2015-03-11,2015-03-12,2015-09-01,72,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2015-10-08,2013-10-16,2015-04-09,2015-04-10,2015-10-08,73,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2015-11-02,2013-11-08,2015-05-05,2015-05-06,2015-11-02,73,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2015-12-01,2013-12-09,2015-06-03,2015-06-04,2015-12-01,72,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2016-01-04,2014-01-10,2015-07-07,2015-07-08,2016-01-04,73,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2016-02-01,2014-02-14,2015-08-04,2015-08-05,2016-02-01,73,HIGH_Q25,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2016-03-01,2014-03-10,2015-08-26,2015-08-27,2016-03-01,72,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2016-04-01,2014-04-11,2015-09-30,2015-10-08,2016-04-01,72,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2016-05-03,2014-05-13,2015-11-04,2015-11-05,2016-05-03,72,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2016-06-01,2014-06-12,2015-12-03,2015-12-04,2016-06-01,72,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2016-07-01,2014-07-10,2015-12-31,2016-01-04,2016-07-01,72,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2016-08-01,2014-08-08,2016-02-01,2016-02-02,2016-08-01,72,HIGH_Q75,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2016-09-01,2014-09-11,2016-03-10,2016-03-11,2016-09-01,71,HIGH_Q75,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2016-10-10,2014-10-16,2016-04-08,2016-04-11,2016-10-10,71,PASSIVE,PASSIVE,PASSIVE,PASSIVE,False,8,1,训练或确认没有支持分界规则，采用无因子规则
2016-11-01,2014-11-07,2016-05-03,2016-05-04,2016-11-01,72,HIGH_Q75,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2016-12-01,2014-12-09,2016-06-02,2016-06-03,2016-12-01,71,HIGH_Q75,PASSIVE,PASSIVE,PASSIVE,False,8,2,训练或确认没有支持分界规则，采用无因子规则
2017-01-03,2015-01-12,2016-07-06,2016-07-07,2017-01-03,71,HIGH_Q75,CASH,PASSIVE,PASSIVE,False,8,3,训练或确认没有支持分界规则，采用无因子规则
