candidate_id,model,period,cost,source_round,ledger
JOINT_0514,ACCOUNT_VOLATILITY_EXPOSURE,evaluation,BASE,186,reports\research\510300_idle_reversal_opportunity_v1\evaluation\BASE\ACCOUNT_VOLATILITY_EXPOSURE_ledger.parquet
JOINT_0514,ACCOUNT_VOLATILITY_EXPOSURE,evaluation,STRESS,186,reports\research\510300_idle_reversal_opportunity_v1\evaluation\STRESS\ACCOUNT_VOLATILITY_EXPOSURE_ledger.parquet
JOINT_0514,ACCOUNT_VOLATILITY_EXPOSURE,earlier_diagnostic,BASE,186,reports\research\510300_idle_reversal_opportunity_v1\earlier_diagnostic\BASE\ACCOUNT_VOLATILITY_EXPOSURE_ledger.parquet
JOINT_0514,ACCOUNT_VOLATILITY_EXPOSURE,earlier_diagnostic,STRESS,186,reports\research\510300_idle_reversal_opportunity_v1\earlier_diagnostic\STRESS\ACCOUNT_VOLATILITY_EXPOSURE_ledger.parquet
JOINT_0513,EXPOSURE_EXPANSION_200,evaluation,BASE,183,reports\research\510300_binary_signal_exposure_v1\evaluation\BASE\EXPOSURE_EXPANSION_200_ledger.parquet
JOINT_0513,EXPOSURE_EXPANSION_200,evaluation,STRESS,183,reports\research\510300_binary_signal_exposure_v1\evaluation\STRESS\EXPOSURE_EXPANSION_200_ledger.parquet
JOINT_0513,EXPOSURE_EXPANSION_200,earlier_diagnostic,BASE,183,reports\research\510300_binary_signal_exposure_v1\earlier_diagnostic\BASE\EXPOSURE_EXPANSION_200_ledger.parquet
JOINT_0513,EXPOSURE_EXPANSION_200,earlier_diagnostic,STRESS,183,reports\research\510300_binary_signal_exposure_v1\earlier_diagnostic\STRESS\EXPOSURE_EXPANSION_200_ledger.parquet
JOINT_0515,EPISODE_ACCOUNT_RISK_BUDGET,evaluation,BASE,184,reports\research\510300_signal_episode_protective_exit_v1\evaluation\BASE\EPISODE_ACCOUNT_RISK_BUDGET_ledger.parquet
JOINT_0515,EPISODE_ACCOUNT_RISK_BUDGET,evaluation,STRESS,184,reports\research\510300_signal_episode_protective_exit_v1\evaluation\STRESS\EPISODE_ACCOUNT_RISK_BUDGET_ledger.parquet
JOINT_0515,EPISODE_ACCOUNT_RISK_BUDGET,earlier_diagnostic,BASE,184,reports\research\510300_signal_episode_protective_exit_v1\earlier_diagnostic\BASE\EPISODE_ACCOUNT_RISK_BUDGET_ledger.parquet
JOINT_0515,EPISODE_ACCOUNT_RISK_BUDGET,earlier_diagnostic,STRESS,184,reports\research\510300_signal_episode_protective_exit_v1\earlier_diagnostic\STRESS\EPISODE_ACCOUNT_RISK_BUDGET_ledger.parquet
JOINT_0512,EXPOSURE_EXPANSION_150,evaluation,BASE,180,reports\research\510300_unlevered_exposure_expansion_v1\evaluation\BASE\EXPOSURE_EXPANSION_150_ledger.parquet
JOINT_0512,EXPOSURE_EXPANSION_150,evaluation,STRESS,180,reports\research\510300_unlevered_exposure_expansion_v1\evaluation\STRESS\EXPOSURE_EXPANSION_150_ledger.parquet
JOINT_0512,EXPOSURE_EXPANSION_150,earlier_diagnostic,BASE,180,reports\research\510300_unlevered_exposure_expansion_v1\earlier_diagnostic\BASE\EXPOSURE_EXPANSION_150_ledger.parquet
JOINT_0512,EXPOSURE_EXPANSION_150,earlier_diagnostic,STRESS,180,reports\research\510300_unlevered_exposure_expansion_v1\earlier_diagnostic\STRESS\EXPOSURE_EXPANSION_150_ledger.parquet
JOINT_0497,RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,BASE,179,reports\research\510300_sequential_regime_strategy_selection_v1\evaluation\BASE\RUNS_OPPORTUNITY_CAPPED_SUM_ledger.parquet
JOINT_0497,RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,STRESS,179,reports\research\510300_sequential_regime_strategy_selection_v1\evaluation\STRESS\RUNS_OPPORTUNITY_CAPPED_SUM_ledger.parquet
JOINT_0497,RUNS_OPPORTUNITY_CAPPED_SUM,earlier_diagnostic,BASE,179,reports\research\510300_sequential_regime_strategy_selection_v1\earlier_diagnostic\BASE\RUNS_OPPORTUNITY_CAPPED_SUM_ledger.parquet
JOINT_0497,RUNS_OPPORTUNITY_CAPPED_SUM,earlier_diagnostic,STRESS,179,reports\research\510300_sequential_regime_strategy_selection_v1\earlier_diagnostic\STRESS\RUNS_OPPORTUNITY_CAPPED_SUM_ledger.parquet
