period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,full_target_origins,clipped_origins,mean_target
evaluation,EXPOSURE_EXPANSION_150,BASE,1604,436,1168,0,137,137,0.159732348214655
evaluation,EXPOSURE_EXPANSION_200,BASE,1604,436,1168,0,174,174,0.1808958618194169
evaluation,EXPOSURE_EXPANSION_150,STRESS,1604,436,1168,0,137,137,0.159732348214655
evaluation,EXPOSURE_EXPANSION_200,STRESS,1604,436,1168,0,174,174,0.1808958618194169
earlier_diagnostic,EXPOSURE_EXPANSION_150,BASE,1219,446,773,0,163,163,0.28668580422471895
earlier_diagnostic,EXPOSURE_EXPANSION_200,BASE,1219,446,773,0,289,289,0.32027182482197014
earlier_diagnostic,EXPOSURE_EXPANSION_150,STRESS,1219,452,767,0,169,169,0.2916078714929716
earlier_diagnostic,EXPOSURE_EXPANSION_200,STRESS,1219,452,767,0,295,295,0.3251938920902228
