period,cost,model,decisions,fills,target_max_error,cash_nonnegative
evaluation,BASE,EXPOSURE_EXPANSION_150,1604,91,0.0,True
evaluation,STRESS,EXPOSURE_EXPANSION_150,1604,91,0.0,True
earlier_diagnostic,BASE,EXPOSURE_EXPANSION_150,1219,63,0.0,True
earlier_diagnostic,STRESS,EXPOSURE_EXPANSION_150,1219,63,0.0,True
evaluation,BASE,EXPOSURE_EXPANSION_200,1604,95,0.0,True
evaluation,STRESS,EXPOSURE_EXPANSION_200,1604,95,0.0,True
earlier_diagnostic,BASE,EXPOSURE_EXPANSION_200,1219,43,0.0,True
earlier_diagnostic,STRESS,EXPOSURE_EXPANSION_200,1219,43,0.0,True
