cost,model,signal,name,assumption,reused,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,S1_TREND_REBOUND__TRIGGER,S1_TREND_REBOUND,趋势突破与震荡反弹切换,TRIGGER,False,0.24590382930000337,0.03372737823380356,0.03864714081201337,0.10496328550043184,0.36819675210961617,-0.24053077873977127,1604,0.23169293681169825,108,5097.53414,15800.000000000064,False,5.235278877080418e-11,-0.002530093411813414,False
BASE,S1_TREND_REBOUND__DAY_LOW,S1_TREND_REBOUND,趋势突破与震荡反弹切换,DAY_LOW,False,0.21015102730000065,0.02919635617259208,0.03452124456687292,0.10730625803778639,0.32170765431701803,-0.25238992466070614,1604,0.23169179050290126,108,5027.89454,15524.900000000041,False,5.235278877080418e-11,-0.007061115473024897,False
BASE,S1_TREND_REBOUND__CLOSE_NEXT_OPEN,S1_TREND_REBOUND,趋势突破与震荡反弹切换,CLOSE_NEXT_OPEN,True,0.3582429613000024,0.047279697919939204,0.05203133868232328,0.10825268371873686,0.48064710171538644,-0.17429679488992103,1604,0.23671361548244163,106,5250.707740000001,16296.500000000065,False,5.2523319027386606e-11,0.011022226274322228,False
BASE,R2_Z_CONFIRM__TRIGGER,R2_Z_CONFIRM,偏离均值后首日回升,TRIGGER,False,0.06451452829999986,0.009477020807313196,0.011612024089510033,0.06604341921069917,0.17582409009539685,-0.22869906773170903,1604,0.13030673242125312,52,2244.19434,6658.800000000061,False,3.282707439211663e-11,-0.026780450838303778,False
BASE,R2_Z_CONFIRM__DAY_LOW,R2_Z_CONFIRM,偏离均值后首日回升,DAY_LOW,False,0.04773350140000108,0.0070598923712797195,0.009306552789018138,0.0673666585859356,0.13814775713042568,-0.24084751441785232,1604,0.13030821566922923,52,2222.29972,6542.300000000042,False,3.282707439211663e-11,-0.029197579274337256,False
BASE,R2_Z_CONFIRM__CLOSE_NEXT_OPEN,R2_Z_CONFIRM,偏离均值后首日回升,CLOSE_NEXT_OPEN,True,0.16770488200000178,0.023667072559537716,0.025817734284865886,0.06970302346044423,0.37039618947831143,-0.15391242204842237,1604,0.1340446327381231,50,2260.0236000000004,6703.400000000063,False,3.282707439211663e-11,-0.01259039908607926,False
BASE,D60_INTRA__TRIGGER,D60_INTRA,六十日日内强于隔夜,TRIGGER,False,0.5092353770000015,0.0640684558756512,0.07054718675343909,0.13024447797801816,0.5416520366056946,-0.17188174477235527,1604,0.45203543601471025,36,1787.3246,5504.900000000096,False,5.820766091346741e-11,0.027810984230034225,False
BASE,D60_INTRA__DAY_LOW,D60_INTRA,六十日日内强于隔夜,DAY_LOW,False,0.40179454170000245,0.05227846702078527,0.05982651584640983,0.13328800763780665,0.44885145263016335,-0.195615627306233,1604,0.4519342529068506,36,1735.6916600000002,5353.399999999952,False,9.617906471248716e-11,0.016020995375168295,False
BASE,D60_INTRA__CLOSE_NEXT_OPEN,D60_INTRA,六十日日内强于隔夜,CLOSE_NEXT_OPEN,True,0.4200536540000012,0.05433505743075152,0.06166879936140185,0.13251919008289367,0.46535750273471077,-0.21761332792034557,1604,0.4569487661241972,36,1731.0692000000001,5338.199999999964,False,5.093170329928398e-11,0.01807758578513454,False
BASE,BUY_HOLD,BUY_HOLD,买入持有,BUY_HOLD,True,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
