cost,model,signal,name,assumption,reused,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,S1_TREND_REBOUND__TRIGGER,S1_TREND_REBOUND,趋势突破与震荡反弹切换,TRIGGER,False,0.24560039209999984,0.04456365104040894,0.048938126029008024,0.10356126096241304,0.47255243489908677,-0.168858927652568,1219,0.22907146621553112,74,3675.2215800000004,10838.89999999996,False,1.0436451702844352e-10,0.005602422843765019,False
BASE,S1_TREND_REBOUND__DAY_LOW,S1_TREND_REBOUND,趋势突破与震荡反弹切换,DAY_LOW,False,0.13517045590000226,0.02548877659046525,0.0316747592537621,0.11359428569660228,0.2788411323643679,-0.19694213881239822,1219,0.22906998513663432,74,3427.2088200000003,10120.799999999996,False,1.0436451702844352e-10,-0.013472451606178673,False
BASE,S1_TREND_REBOUND__CLOSE_NEXT_OPEN,S1_TREND_REBOUND,趋势突破与震荡反弹切换,CLOSE_NEXT_OPEN,False,0.1598758390000009,0.029881339146891815,0.035851938856415445,0.1130841412104051,0.3170377249424311,-0.17400271004487794,1219,0.23720443974662703,74,3472.5322,10254.59999999998,False,1.0436451702844352e-10,-0.00907988904975211,False
BASE,R2_Z_CONFIRM__TRIGGER,R2_Z_CONFIRM,偏离均值后首日回升,TRIGGER,False,0.008077407699999723,0.00159838872408557,0.003980498033820332,0.06907864710718223,0.05762269819274547,-0.11250533931900764,1219,0.07836505479440534,28,1164.81846,3414.899999999949,False,2.7782220968219917e-11,-0.037362839472558355,False
BASE,R2_Z_CONFIRM__DAY_LOW,R2_Z_CONFIRM,偏离均值后首日回升,DAY_LOW,False,-0.08121969379999956,-0.01667595746571531,-0.013267588997907828,0.08331899918982932,-0.1592384585378864,-0.13252987926861715,1219,0.0783592784789778,28,1081.53876,3182.5999999999804,False,3.3310243452433497e-11,-0.055637185662359236,False
BASE,R2_Z_CONFIRM__CLOSE_NEXT_OPEN,R2_Z_CONFIRM,偏离均值后首日回升,CLOSE_NEXT_OPEN,False,-0.058968379399999604,-0.01199345873310726,-0.00888433804641782,0.07927591612829085,-0.11206856357283147,-0.1150566164646209,1219,0.07842115139434257,26,1027.97588,3039.999999999968,False,3.325340003357269e-11,-0.050954686929751185,False
BASE,D60_INTRA__TRIGGER,D60_INTRA,六十日日内强于隔夜,TRIGGER,False,0.34857314260000194,0.06116550959950567,0.06992715741824272,0.14495366801626353,0.48241040309788524,-0.22112523422112162,1219,0.5389351432965603,40,1842.77148,5448.500000000033,False,1.0413714335300028e-10,0.022204281402861743,False
BASE,D60_INTRA__DAY_LOW,D60_INTRA,六十日日内强于隔夜,DAY_LOW,False,0.0811312911999982,0.01560694463289851,0.027712035006102868,0.15544388667016573,0.17827677626785451,-0.3043377159886158,1219,0.536292826725195,42,1630.3417600000002,4788.49999999998,False,3.056754849239951e-11,-0.023354283563745415,False
BASE,D60_INTRA__CLOSE_NEXT_OPEN,D60_INTRA,六十日日内强于隔夜,CLOSE_NEXT_OPEN,False,0.3965647507999998,0.06855779095770492,0.07890429760374282,0.1579543960507439,0.49953847171429333,-0.2053713857748189,1219,0.5521540440406889,34,1698.7498400000002,5029.700000000078,False,1.0982148523908108e-10,0.029596562761061,False
BASE,BUY_HOLD,BUY_HOLD,买入持有,BUY_HOLD,True,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,0.0,False
