period,cost,model,intraday_filled_exits,open_protective_exits,blocked_protective_attempts,completed_round_trips,max_accounting_error
evaluation,BASE,S1_TREND_REBOUND__TRIGGER,5,0,0,54,5.235278877080418e-11
evaluation,BASE,S1_TREND_REBOUND__DAY_LOW,5,0,0,54,5.235278877080418e-11
evaluation,BASE,R2_Z_CONFIRM__TRIGGER,4,0,0,26,3.282707439211663e-11
evaluation,BASE,R2_Z_CONFIRM__DAY_LOW,4,0,0,26,3.282707439211663e-11
evaluation,BASE,D60_INTRA__TRIGGER,7,1,0,18,5.820766091346741e-11
evaluation,BASE,D60_INTRA__DAY_LOW,7,1,0,18,9.617906471248716e-11
evaluation,STRESS,S1_TREND_REBOUND__TRIGGER,5,0,0,54,3.632294465205632e-11
evaluation,STRESS,S1_TREND_REBOUND__DAY_LOW,5,0,0,54,3.632294465205632e-11
evaluation,STRESS,R2_Z_CONFIRM__TRIGGER,4,0,0,26,3.041122909053229e-11
evaluation,STRESS,R2_Z_CONFIRM__DAY_LOW,4,0,0,26,3.183231456205249e-11
evaluation,STRESS,D60_INTRA__TRIGGER,7,1,0,18,6.30961949354969e-11
evaluation,STRESS,D60_INTRA__DAY_LOW,7,1,0,18,5.911715561524034e-11
earlier_diagnostic,BASE,S1_TREND_REBOUND__TRIGGER,4,0,0,37,1.0436451702844352e-10
earlier_diagnostic,BASE,S1_TREND_REBOUND__DAY_LOW,4,0,0,37,1.0436451702844352e-10
earlier_diagnostic,BASE,R2_Z_CONFIRM__TRIGGER,4,0,0,14,2.7782220968219917e-11
earlier_diagnostic,BASE,R2_Z_CONFIRM__DAY_LOW,4,0,0,14,3.3310243452433497e-11
earlier_diagnostic,BASE,D60_INTRA__TRIGGER,11,1,0,20,1.0413714335300028e-10
earlier_diagnostic,BASE,D60_INTRA__DAY_LOW,11,1,1,21,3.056754849239951e-11
earlier_diagnostic,STRESS,S1_TREND_REBOUND__TRIGGER,4,0,0,37,7.821654435247183e-11
earlier_diagnostic,STRESS,S1_TREND_REBOUND__DAY_LOW,3,0,1,37,6.065192792448215e-11
earlier_diagnostic,STRESS,R2_Z_CONFIRM__TRIGGER,4,0,0,14,3.205968823749572e-11
earlier_diagnostic,STRESS,R2_Z_CONFIRM__DAY_LOW,3,0,1,14,3.444711182964966e-11
earlier_diagnostic,STRESS,D60_INTRA__TRIGGER,12,1,0,21,2.8194335754960775e-11
earlier_diagnostic,STRESS,D60_INTRA__DAY_LOW,11,1,1,21,2.9046987037872896e-11
