历史,收盘日期,方向触发,当天标准化收益,触发前上涨证据,触发前下跌证据,触发后方向
主历史,2020-02-03,下跌,-7.780325106785799,0.0,11.369522093027683,非上涨
主历史,2020-07-02,上涨,2.6500842625874634,5.262472498985735,0.0,上涨
主历史,2020-07-06,上涨,7.230730146933858,8.292601150870878,0.0,上涨
主历史,2021-01-05,上涨,1.9392147532920871,5.050740508644617,0.0,上涨
主历史,2021-07-27,下跌,-2.8517193320650605,0.0,5.812503317594713,非上涨
主历史,2022-03-08,下跌,-1.7167661389295636,0.0,5.299420141197012,非上涨
主历史,2022-03-15,下跌,-3.4665345385921453,0.0,5.133263629682806,非上涨
主历史,2024-09-24,上涨,6.19243472887188,6.2556964999628235,0.0,上涨
主历史,2024-09-27,上涨,3.860770512999026,7.238992169256564,0.0,上涨
主历史,2024-10-08,上涨,1.4976835590352833,5.0272335681098,0.0,上涨
主历史,2025-04-07,下跌,-8.585916427391222,0.0,8.185795659090028,非上涨
主历史,2025-06-25,上涨,3.408775398222193,5.3478576120716115,0.0,上涨
主历史,2025-08-22,上涨,3.2861025705973193,5.286128042990855,0.0,上涨
较早历史,2015-04-07,上涨,1.4011586873826547,5.023504562733183,0.0,上涨
较早历史,2015-08-25,下跌,-2.341475973728082,0.0,5.724194813565496,非上涨
较早历史,2016-01-11,下跌,-2.4008138381532684,0.0,5.739446365255997,非上涨
较早历史,2016-08-15,上涨,3.7487446589321176,5.350058637148274,0.0,上涨
较早历史,2016-11-29,上涨,1.5241822810478478,5.025282951659169,0.0,上涨
较早历史,2017-10-27,上涨,1.2840066465996411,5.572609543440079,0.0,上涨
较早历史,2017-11-10,上涨,1.9531907711330185,5.304887468818082,0.0,上涨
较早历史,2018-02-07,下跌,-2.3730827102887937,0.0,6.861014298204829,非上涨
较早历史,2019-02-13,上涨,2.3593399725806368,5.072942151378477,0.0,上涨
较早历史,2019-02-25,上涨,5.96424101326959,8.008371718494397,0.0,上涨
较早历史,2019-08-07,下跌,-0.8121375704943238,0.0,5.276679080978745,非上涨
