period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,upward_alarm_origins,downward_alarm_origins,risk_capped_origins,full_target_origins
evaluation,SEQUENTIAL_RETURN_STATE,BASE,1604,665,939,0,8,5,635,30
evaluation,SEQUENTIAL_RETURN_STATE,STRESS,1604,665,939,0,8,5,635,30
earlier_diagnostic,SEQUENTIAL_RETURN_STATE,BASE,1219,642,577,0,7,4,488,154
earlier_diagnostic,SEQUENTIAL_RETURN_STATE,STRESS,1219,642,577,0,7,4,488,154
