period,cost,all_factor_rows,decision_origins,cumulative_evidence_max_error,lagged_scale_max_error,raw_total_return_reconstructed,independent_previous_scale_and_dual_recursion
evaluation,BASE,3456,1604,6.10178574333986e-13,1.8041124150158794e-16,True,True
evaluation,STRESS,3456,1604,6.10178574333986e-13,1.8041124150158794e-16,True,True
earlier_diagnostic,BASE,1852,1219,6.10178574333986e-13,1.8041124150158794e-16,True,True
earlier_diagnostic,STRESS,1852,1219,6.10178574333986e-13,1.8041124150158794e-16,True,True
