period,cost,cycles,losing_cycles,net_profit,largest_three_vs_net_profit
evaluation,BASE,13,8,18945.341359999984,3.8578156778062955
evaluation,STRESS,13,8,15090.643760000079,4.741421485918083
earlier_diagnostic,BASE,5,2,11026.187720000002,2.9670912513722363
earlier_diagnostic,STRESS,5,2,9407.946160000029,3.364238130376366
