fit_index,fit_origin,groups,rows,eligible
632,2014-12-31,0,0,False
633,2015-01-05,0,0,False
653,2015-02-02,3,66,False
668,2015-03-02,3,66,False
690,2015-04-01,3,66,False
711,2015-05-04,3,66,False
731,2015-06-01,5,128,False
752,2015-07-01,7,146,False
775,2015-08-03,7,146,False
796,2015-09-01,7,146,False
816,2015-10-08,7,146,False
833,2015-11-02,7,146,False
854,2015-12-01,7,146,False
877,2016-01-04,7,146,False
897,2016-02-01,8,214,False
913,2016-03-01,8,214,False
936,2016-04-01,8,214,False
956,2016-05-03,8,214,False
977,2016-06-01,8,214,False
997,2016-07-01,8,214,False
1018,2016-08-01,8,214,False
1041,2016-09-01,9,218,False
1061,2016-10-10,10,229,True
1077,2016-11-01,10,229,True
1099,2016-12-01,10,229,True
1121,2017-01-03,10,229,True
1139,2017-02-03,10,229,True
1157,2017-03-01,10,229,True
1180,2017-04-05,10,229,True
1198,2017-05-02,10,229,True
1218,2017-06-01,10,229,True
1240,2017-07-03,10,229,True
1261,2017-08-01,10,229,True
1284,2017-09-01,12,430,True
1305,2017-10-09,12,430,True
1322,2017-11-01,12,430,True
1344,2017-12-01,12,430,True
1365,2018-01-02,12,430,True
1387,2018-02-01,12,430,True
1402,2018-03-01,13,607,True
1424,2018-04-02,13,607,True
1442,2018-05-02,13,607,True
1464,2018-06-01,13,607,True
1484,2018-07-02,13,607,True
1506,2018-08-01,13,607,True
1529,2018-09-03,13,607,True
1548,2018-10-08,13,607,True
1566,2018-11-01,14,608,True
1588,2018-12-03,14,608,True
1608,2019-01-02,14,608,True
1630,2019-02-01,14,608,True
1645,2019-03-01,14,608,True
1666,2019-04-01,14,608,True
1687,2019-05-06,14,608,True
1707,2019-06-03,14,608,True
1726,2019-07-01,14,608,True
1749,2019-08-01,16,667,True
1771,2019-09-02,16,667,True
1791,2019-10-08,16,667,True
1809,2019-11-01,16,667,True
1830,2019-12-02,16,667,True
1852,2020-01-02,16,667,True
1868,2020-02-03,16,667,True
1888,2020-03-02,16,667,True
1910,2020-04-01,16,667,True
1931,2020-05-06,16,667,True
1949,2020-06-01,17,727,True
1969,2020-07-01,17,727,True
1992,2020-08-03,17,727,True
2013,2020-09-01,17,727,True
2035,2020-10-09,19,751,True
2051,2020-11-02,19,751,True
2072,2020-12-01,19,751,True
2095,2021-01-04,19,751,True
2115,2021-02-01,19,751,True
2130,2021-03-01,20,721,True
2153,2021-04-01,20,721,True
2174,2021-05-06,20,721,True
2192,2021-06-01,20,721,True
2213,2021-07-01,20,721,True
2235,2021-08-02,20,736,True
2257,2021-09-01,20,736,True
2277,2021-10-08,20,745,True
2293,2021-11-01,20,745,True
2315,2021-12-01,20,745,True
2338,2022-01-04,20,745,True
2357,2022-02-07,20,701,True
2373,2022-03-01,20,701,True
2396,2022-04-01,20,701,True
2415,2022-05-05,20,701,True
2434,2022-06-01,20,701,True
2455,2022-07-01,20,701,True
2476,2022-08-01,20,701,True
2499,2022-09-01,20,696,True
2520,2022-10-10,20,678,True
2536,2022-11-01,20,678,True
2558,2022-12-01,20,678,True
2580,2023-01-03,20,678,True
2596,2023-02-01,20,678,True
2616,2023-03-01,20,678,True
2639,2023-04-03,20,678,True
2658,2023-05-04,20,678,True
2678,2023-06-01,20,678,True
2698,2023-07-03,20,678,True
2719,2023-08-01,20,678,True
2742,2023-09-01,20,678,True
2762,2023-10-09,20,678,True
2779,2023-11-01,20,678,True
2801,2023-12-01,20,678,True
2822,2024-01-02,20,678,True
2844,2024-02-01,20,678,True
2859,2024-03-01,20,678,True
2880,2024-04-01,20,678,True
2900,2024-05-06,20,678,True
2920,2024-06-03,20,678,True
2939,2024-07-01,20,678,True
2962,2024-08-01,20,678,True
2984,2024-09-02,20,743,True
3003,2024-10-08,20,563,True
3021,2024-11-01,20,277,True
3042,2024-12-02,20,277,True
3064,2025-01-02,20,277,True
3082,2025-02-05,20,277,True
3100,2025-03-03,20,277,True
3121,2025-04-01,20,277,True
3142,2025-05-06,20,277,True
3161,2025-06-03,20,277,True
3181,2025-07-01,20,277,True
3204,2025-08-01,20,277,True
3225,2025-09-01,20,290,True
3247,2025-10-09,20,273,True
3264,2025-11-03,20,273,True
3284,2025-12-01,20,273,True
3307,2026-01-05,20,273,True
3327,2026-02-02,20,273,True
3341,2026-03-02,20,363,True
3363,2026-04-01,20,363,True
3384,2026-05-06,20,363,True
3402,2026-06-01,20,363,True
3423,2026-07-01,20,363,True
3446,2026-08-03,20,338,True
