fit_index,fit_origin,fit_time,status,training_group_count,training_rows,latest_training_maturity
632,2014-12-31,2014-12-31 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,0,0,
633,2015-01-05,2015-01-05 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,0,0,
653,2015-02-02,2015-02-02 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,3,66,2015-01-20
668,2015-03-02,2015-03-02 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,3,66,2015-01-20
690,2015-04-01,2015-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,3,66,2015-01-20
711,2015-05-04,2015-05-04 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,3,66,2015-01-20
731,2015-06-01,2015-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,5,128,2015-05-28
752,2015-07-01,2015-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,2015-06-23
775,2015-08-03,2015-08-03 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,2015-06-23
796,2015-09-01,2015-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,2015-06-23
816,2015-10-08,2015-10-08 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,2015-06-23
833,2015-11-02,2015-11-02 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,2015-06-23
854,2015-12-01,2015-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,2015-06-23
877,2016-01-04,2016-01-04 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,2015-06-23
897,2016-02-01,2016-02-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,2016-01-12
913,2016-03-01,2016-03-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,2016-01-12
936,2016-04-01,2016-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,2016-01-12
956,2016-05-03,2016-05-03 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,2016-01-12
977,2016-06-01,2016-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,2016-01-12
