fit_origin,groups,rows,latest_maturity
2016-10-10,10,229,2016-09-02
2016-11-01,10,229,2016-09-02
2016-12-01,10,229,2016-09-02
2017-01-03,10,229,2016-09-02
2017-02-03,10,229,2016-09-02
2017-03-01,10,229,2016-09-02
2017-04-05,10,229,2016-09-02
2017-05-02,10,229,2016-09-02
2017-06-01,10,229,2016-09-02
2017-07-03,10,229,2016-09-02
2017-08-01,10,229,2016-09-02
2017-09-01,12,430,2017-08-14
2017-10-09,12,430,2017-08-14
2017-11-01,12,430,2017-08-14
2017-12-01,12,430,2017-08-14
2018-01-02,12,430,2017-08-14
2018-02-01,12,430,2017-08-14
2018-03-01,13,607,2018-02-12
2018-04-02,13,607,2018-02-12
2018-05-02,13,607,2018-02-12
2018-06-01,13,607,2018-02-12
2018-07-02,13,607,2018-02-12
2018-08-01,13,607,2018-02-12
2018-09-03,13,607,2018-02-12
2018-10-08,13,607,2018-02-12
2018-11-01,14,608,2018-10-19
2018-12-03,14,608,2018-10-19
2019-01-02,14,608,2018-10-19
2019-02-01,14,608,2018-10-19
2019-03-01,14,608,2018-10-19
2019-04-01,14,608,2018-10-19
2019-05-06,14,608,2018-10-19
2019-06-03,14,608,2018-10-19
2019-07-01,14,608,2018-10-19
2019-08-01,16,667,2019-07-05
2019-09-02,16,667,2019-07-05
2019-10-08,16,667,2019-07-05
2019-11-01,16,667,2019-07-05
2019-12-02,16,667,2019-07-05
2020-01-02,16,667,2019-07-05
2020-02-03,16,667,2019-07-05
2020-03-02,16,667,2019-07-05
2020-04-01,16,667,2019-07-05
2020-05-06,16,667,2019-07-05
2020-06-01,17,727,2020-05-26
2020-07-01,17,727,2020-05-26
2020-08-03,17,727,2020-05-26
2020-09-01,17,727,2020-05-26
2020-10-09,19,751,2020-09-30
2020-11-02,19,751,2020-09-30
2020-12-01,19,751,2020-09-30
2021-01-04,19,751,2020-09-30
2021-02-01,19,751,2020-09-30
2021-03-01,20,721,2021-03-01
2021-04-01,20,721,2021-03-01
2021-05-06,20,721,2021-03-01
2021-06-01,20,721,2021-03-01
2021-07-01,20,721,2021-03-01
2021-08-02,20,736,2021-07-28
2021-09-01,20,736,2021-07-28
2021-10-08,20,745,2021-10-08
2021-11-01,20,745,2021-10-08
2021-12-01,20,745,2021-10-08
2022-01-04,20,745,2021-10-08
2022-02-07,20,701,2022-01-17
2022-03-01,20,701,2022-01-17
2022-04-01,20,701,2022-01-17
2022-05-05,20,701,2022-01-17
2022-06-01,20,701,2022-01-17
2022-07-01,20,701,2022-01-17
2022-08-01,20,701,2022-01-17
2022-09-01,20,696,2022-08-04
2022-10-10,20,678,2022-09-08
2022-11-01,20,678,2022-09-08
2022-12-01,20,678,2022-09-08
2023-01-03,20,678,2022-09-08
2023-02-01,20,678,2022-09-08
2023-03-01,20,678,2022-09-08
2023-04-03,20,678,2022-09-08
2023-05-04,20,678,2022-09-08
2023-06-01,20,678,2022-09-08
2023-07-03,20,678,2022-09-08
2023-08-01,20,678,2022-09-08
2023-09-01,20,678,2022-09-08
2023-10-09,20,678,2022-09-08
2023-11-01,20,678,2022-09-08
2023-12-01,20,678,2022-09-08
2024-01-02,20,678,2022-09-08
2024-02-01,20,678,2022-09-08
2024-03-01,20,678,2022-09-08
2024-04-01,20,678,2022-09-08
2024-05-06,20,678,2022-09-08
2024-06-03,20,678,2022-09-08
2024-07-01,20,678,2022-09-08
2024-08-01,20,678,2022-09-08
2024-09-02,20,743,2024-08-30
2024-10-08,20,563,2024-09-12
2024-11-01,20,277,2024-10-10
2024-12-02,20,277,2024-10-10
2025-01-02,20,277,2024-10-10
2025-02-05,20,277,2024-10-10
2025-03-03,20,277,2024-10-10
2025-04-01,20,277,2024-10-10
2025-05-06,20,277,2024-10-10
2025-06-03,20,277,2024-10-10
2025-07-01,20,277,2024-10-10
2025-08-01,20,277,2024-10-10
2025-09-01,20,290,2025-08-21
2025-10-09,20,273,2025-09-05
2025-11-03,20,273,2025-09-05
2025-12-01,20,273,2025-09-05
2026-01-05,20,273,2025-09-05
2026-02-02,20,273,2025-09-05
2026-03-02,20,363,2026-02-04
2026-04-01,20,363,2026-02-04
2026-05-06,20,363,2026-02-04
2026-06-01,20,363,2026-02-04
2026-07-01,20,363,2026-02-04
2026-08-03,20,338,2026-07-20
