period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,mean_exposure,raw_entry_origins,raw_opportunities_without_model,raw_opportunities_with_positive_prediction,origins_without_prediction,first_actual_entry,completed_cycles,no_model_period_is_not_forecast_success
evaluation,BASE,451,13,13,0,0.280017030233195,546,0,184,0,2020-02-07,13,True
evaluation,STRESS,451,13,13,0,0.28006139907236366,546,0,184,0,2020-02-07,13,True
earlier_diagnostic,BASE,179,5,5,0,0.14616937002877545,574,195,361,429,2016-10-11,5,True
earlier_diagnostic,STRESS,179,5,5,0,0.1461489263707128,574,195,361,429,2016-10-11,5,True
