period,cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,REFERENCE_ACCOUNT_NET_RETURN_GATE,2020,0.21293556939999925,0.21197237450143552,0.19664573025411747,0.09456164673688354,2.0795506110556796,-0.035558775822854424,243,0.1710858495992379,18,408.98612,1297.4000000000092,False,3.7971403799019754e-11
evaluation,BASE,REFERENCE_ACCOUNT_NET_RETURN_GATE,2021,0.07588587376123457,0.07556207469041565,0.07452700542839404,0.058216923036794634,1.28016050214971,-0.034325999714854345,243,0.13323125743481162,23,692.9649000000001,2031.0000000000744,False,4.098410499864258e-11
evaluation,BASE,REFERENCE_ACCOUNT_NET_RETURN_GATE,2022,-0.027358689558351315,-0.027358689558351315,-0.027071314526069035,0.03661636226816488,-0.7393228832457087,-0.039866513209854744,242,0.05519479860778934,10,333.30988,1169.199999999988,False,5.5649707064731047e-11
evaluation,BASE,REFERENCE_ACCOUNT_NET_RETURN_GATE,2023,0.00048318339018659233,0.00048318339018659233,0.0005312177102658744,0.009844728996538026,0.05395960726320462,-0.0067558049319397665,242,0.02370747533344414,4,176.44122,643.8000000000244,False,2.1941559680271894e-11
evaluation,BASE,REFERENCE_ACCOUNT_NET_RETURN_GATE,2024,0.09288097315796202,0.09288097315796202,0.09201237222644931,0.08024115928814689,1.1466979420876993,-0.0349812247440942,242,0.2865490487577085,18,493.35782000000006,1469.499999999976,False,6.536993168992922e-11
evaluation,BASE,REFERENCE_ACCOUNT_NET_RETURN_GATE,2025,0.16067704234991825,0.1599655529678622,0.1496304578532577,0.04922121826574071,3.0399584391718424,-0.008751930450742037,243,0.2100357089198306,23,592.90434,1700.700000000014,False,8.882139468369132e-11
evaluation,BASE,REFERENCE_ACCOUNT_NET_RETURN_GATE,2026,-0.030793349343868764,-0.04953085661339507,-0.04858774025136555,0.0665830208817195,-0.7297316884687252,-0.06416296937477076,149,0.18546344263549056,16,554.69284,1722.8999999999146,False,7.571543392259628e-11
evaluation,BASE,REFERENCE_ACCOUNT_NAV_MEAN_GATE,2020,0.2336530156999994,0.2325874593190182,0.2135699471179725,0.09503073054130297,2.2473777261466923,-0.02894575893335259,243,0.174035405691845,18,348.79686000000004,1126.3999999999874,False,3.7971403799019754e-11
evaluation,BASE,REFERENCE_ACCOUNT_NAV_MEAN_GATE,2021,0.08052804738099788,0.08018371238142213,0.07886625295270706,0.05907576020235932,1.3350019141955514,-0.04049793390432621,243,0.14036089937264407,22,665.7663,1952.4000000000715,False,1.220428202941548e-10
evaluation,BASE,REFERENCE_ACCOUNT_NAV_MEAN_GATE,2022,-0.05475621347385756,-0.05475621347385756,-0.055832332413615626,0.030752789472714148,-1.8155209127664227,-0.056041154071853984,242,0.051125612818914416,12,439.37019999999995,1499.999999999981,False,4.5645265345228836e-11
