period,cost,model,fills,maximum_target_error
evaluation,BASE,REFERENCE_ACCOUNT_NET_RETURN_GATE,112,0.0
evaluation,STRESS,REFERENCE_ACCOUNT_NET_RETURN_GATE,108,0.0
earlier_diagnostic,BASE,REFERENCE_ACCOUNT_NET_RETURN_GATE,71,0.0
earlier_diagnostic,STRESS,REFERENCE_ACCOUNT_NET_RETURN_GATE,71,0.0
evaluation,BASE,REFERENCE_ACCOUNT_NAV_MEAN_GATE,118,0.0
evaluation,STRESS,REFERENCE_ACCOUNT_NAV_MEAN_GATE,116,0.0
earlier_diagnostic,BASE,REFERENCE_ACCOUNT_NAV_MEAN_GATE,69,0.0
earlier_diagnostic,STRESS,REFERENCE_ACCOUNT_NAV_MEAN_GATE,70,0.0
