period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,active_source_paused_origins,health_pause_transitions,health_recovery_transitions,mean_target
evaluation,REFERENCE_ACCOUNT_NET_RETURN_GATE,BASE,1604,345,1259,0,91,30,30,0.150317289087242
evaluation,REFERENCE_ACCOUNT_NAV_MEAN_GATE,BASE,1604,325,1279,0,111,30,29,0.14764148089788393
evaluation,REFERENCE_ACCOUNT_NET_RETURN_GATE,STRESS,1604,341,1263,0,95,28,28,0.14840435172018915
evaluation,REFERENCE_ACCOUNT_NAV_MEAN_GATE,STRESS,1604,321,1283,0,115,29,28,0.14539818305813296
earlier_diagnostic,REFERENCE_ACCOUNT_NET_RETURN_GATE,BASE,1219,375,844,0,71,25,25,0.22256333975722756
earlier_diagnostic,REFERENCE_ACCOUNT_NAV_MEAN_GATE,BASE,1219,359,860,0,87,17,17,0.20787362945260085
earlier_diagnostic,REFERENCE_ACCOUNT_NET_RETURN_GATE,STRESS,1219,373,846,0,79,23,23,0.2200176509562104
earlier_diagnostic,REFERENCE_ACCOUNT_NAV_MEAN_GATE,STRESS,1219,362,857,0,90,19,19,0.20948275642645853
