cycle_id,states,exit_index,mean_target,within_target_variance
1,59,588,0.02092881846220858,0.0003552868829736807
2,52,644,0.095011252671433,0.020712748923860803
3,6,654,-0.03344760127158213,0.0005144410799447764
4,59,717,0.17983739018447753,0.01936404522650384
5,25,746,-0.08038605495456558,0.0017396229377991612
6,59,874,0.02425048710177973,0.002160488139154201
8,1,883,-0.025405979073243636,0.0
9,59,1016,0.0277538628786049,0.0007837407110978204
10,59,1079,0.008058596622428634,0.0002504636138858497
11,59,1142,-0.009137820667817292,0.00045364980862148594
