period,cost,entry_used_missing_breadth_baseline_fallback,cycles,positive_cycles,net_profit
evaluation,BASE,False,19,9,27882.8385000001
evaluation,STRESS,False,19,9,22004.086680000175
earlier_diagnostic,BASE,False,1,0,-1085.359599999967
earlier_diagnostic,BASE,True,6,4,96313.81148
earlier_diagnostic,STRESS,False,1,0,-1510.7736000000732
earlier_diagnostic,STRESS,True,6,4,93664.41956000002
