period,cost,model,completed_round_trips,positive_cycles,holding_decision_rows,holding_with_prediction,holding_without_prediction,entry_cycles_with_missing_breadth_fallback,learned_exit_cycles,flat_rearmed_origins_rejected_by_breadth
evaluation,BASE,BREADTH_GATED_REARM_RIDGE,19,9,160,160,0,0,18,105
evaluation,STRESS,BREADTH_GATED_REARM_RIDGE,19,9,160,160,0,0,18,105
earlier_diagnostic,BASE,BREADTH_GATED_REARM_RIDGE,7,4,271,67,204,6,1,10
earlier_diagnostic,STRESS,BREADTH_GATED_REARM_RIDGE,7,4,271,67,204,6,1,10
