period,decision_origins,breadth_valid_origins,breadth_missing_fallback_origins,base_eligible_origins,effective_eligible_origins,base_eligible_origins_rejected,base_eligible_origins_with_missing_breadth
evaluation,1604,1592,12,546,286,260,11
earlier_diagnostic,1219,757,462,574,430,144,281
