period,cost,decision_origins,missing_breadth_baseline_buy_requests,original_rearm_and_exit_state_replayed
evaluation,BASE,1604,0,True
evaluation,STRESS,1604,0,True
earlier_diagnostic,BASE,1219,6,True
earlier_diagnostic,STRESS,1219,6,True
