origin,next_execution_date,window,first_training_mark,last_training_mark,selected,past_net_sharpe,eligible_candidates,source_cost
2019-12-31,2020-01-02,504,2017-12-07,2019-12-31,L17_SLOW_QUICK_VOLATILITY_Z15,0.6621891241404178,22,BASE
2020-03-31,2020-04-01,504,2018-03-07,2020-03-31,L04_FAST_QUICK_DRAWDOWN_Z20,0.6469639705956068,10,BASE
2020-06-30,2020-07-01,504,2018-06-04,2020-06-30,L03_FAST_QUICK_DRAWDOWN_Z15,0.6938841576971582,12,BASE
2020-09-30,2020-10-09,504,2018-09-05,2020-09-30,L03_FAST_QUICK_DRAWDOWN_Z15,1.0320835241539057,12,BASE
2020-12-31,2021-01-04,504,2018-12-06,2020-12-31,L03_FAST_QUICK_DRAWDOWN_Z15,0.9441041664905379,12,BASE
2021-03-31,2021-04-01,504,2019-03-07,2021-03-31,L03_FAST_QUICK_DRAWDOWN_Z15,0.3730723691731299,6,BASE
2021-06-30,2021-07-01,504,2019-06-05,2021-06-30,L01_FAST_QUICK_ALL_Z15,1.257238154011245,11,BASE
2021-09-30,2021-10-08,504,2019-09-04,2021-09-30,L01_FAST_QUICK_ALL_Z15,1.4623197997733868,14,BASE
2021-12-31,2022-01-04,504,2019-12-06,2021-12-31,L01_FAST_QUICK_ALL_Z15,1.4161476442715955,12,BASE
2022-03-31,2022-04-01,504,2020-03-06,2022-03-31,L03_FAST_QUICK_DRAWDOWN_Z15,0.7346367892411996,16,BASE
2022-06-30,2022-07-01,504,2020-06-03,2022-06-30,L08_FAST_PATIENT_ALL_Z20,0.895653715486935,18,BASE
2022-09-30,2022-10-10,504,2020-09-04,2022-09-30,L20_SLOW_PATIENT_ALL_Z20,0.5101701271934974,11,BASE
2022-12-30,2023-01-03,504,2020-12-07,2022-12-30,L20_SLOW_PATIENT_ALL_Z20,0.5283501563009925,11,BASE
2023-03-31,2023-04-03,504,2021-03-08,2023-03-31,L02_FAST_QUICK_ALL_Z20,0.30551155935005525,3,BASE
2023-06-30,2023-07-03,504,2021-06-03,2023-06-30,L14_SLOW_QUICK_ALL_Z20,0.24866005506020403,3,BASE
2023-09-28,2023-10-09,504,2021-09-02,2023-09-28,CASH,,0,BASE
2023-12-29,2024-01-02,504,2021-12-06,2023-12-29,CASH,,0,BASE
2024-03-29,2024-04-01,504,2022-03-04,2024-03-29,CASH,,0,BASE
2024-06-28,2024-07-01,504,2022-06-02,2024-06-28,CASH,,0,BASE
2024-09-30,2024-10-08,504,2022-09-01,2024-09-30,L04_FAST_QUICK_DRAWDOWN_Z20,0.659311406982888,5,BASE
2024-12-31,2025-01-02,504,2022-12-05,2024-12-31,L04_FAST_QUICK_DRAWDOWN_Z20,0.32700256503420927,5,BASE
2025-03-31,2025-04-01,504,2023-03-02,2025-03-31,L04_FAST_QUICK_DRAWDOWN_Z20,0.37750396493655947,6,BASE
2025-06-30,2025-07-01,504,2023-05-31,2025-06-30,L04_FAST_QUICK_DRAWDOWN_Z20,0.5503580484856161,9,BASE
2025-09-30,2025-10-09,504,2023-09-04,2025-09-30,L10_FAST_PATIENT_DRAWDOWN_Z20,1.058440701728619,21,BASE
2025-12-31,2026-01-05,504,2023-12-05,2025-12-31,L10_FAST_PATIENT_DRAWDOWN_Z20,0.9612265561149803,19,BASE
2026-03-31,2026-04-01,504,2024-03-01,2026-03-31,L08_FAST_PATIENT_ALL_Z20,0.829652164106474,22,BASE
2026-06-30,2026-07-01,504,2024-05-31,2026-06-30,L08_FAST_PATIENT_ALL_Z20,1.0077815453624746,24,BASE
