announcement_id,ts_code,sec_name,report_period,event_publication_date,official_pdf_url,source_sha256,metric_id,metric_value_exact,unit,source_unit_multiplier,source_page,source_label,source_raw_row,source_raw_value,all_numeric_cells,selected_column_one_based,footnote_or_formula,statement_scope,period_scope,status,comparative_is_earlier_original,weighted_share_rounding,bridge_sign
1219306493,000001.SZ,平安银行,2023-12-31,2024-03-15,https://static.cninfo.com.cn/finalpage/2024-03-15/1219306493.PDF,8561144288e31ff5cce0789723233335749df2183305999d097b67a1df46d7bd,ORDINARY_NET_PROFIT_YTD,43606000000,CNY,1000000.0,227,归属于母公司普通股股东的本年净利润,"归属于母公司普通股股东的本年净利润 43,606 42,667","43,606","['43,606', '42,667']",1,,CONSOLIDATED,FULL_YEAR,PASS_EXPLICIT_CURRENT_ORIGINAL,False,,
1219306493,000001.SZ,平安银行,2023-12-31,2024-03-15,https://static.cninfo.com.cn/finalpage/2024-03-15/1219306493.PDF,8561144288e31ff5cce0789723233335749df2183305999d097b67a1df46d7bd,WEIGHTED_ORDINARY_SHARES,19406000000,SHARES,1000000.0,227,已发行在外普通股的加权平均数,"已发行在外普通股的加权平均数(百万股) 19,406 19,406","19,406","['19,406', '19,406']",1,,CONSOLIDATED,FULL_YEAR,PASS_REPORTED_WEIGHTED_SHARES,False,REPORTED_MILLION_SHARES,
1219306493,000001.SZ,平安银行,2023-12-31,2024-03-15,https://static.cninfo.com.cn/finalpage/2024-03-15/1219306493.PDF,8561144288e31ff5cce0789723233335749df2183305999d097b67a1df46d7bd,PREFERRED_DISTRIBUTION,-874000000,CNY,1000000.0,227,母公司优先股宣告股息,减：母公司优先股宣告股息 (874) (874),(874),"['(874)', '(874)']",1,,CONSOLIDATED,FULL_YEAR,PASS_EPS_NUMERATOR_ADJUSTMENT_NOT_ORDINARY_CASH_RETURN,False,,
1219306493,000001.SZ,平安银行,2023-12-31,2024-03-15,https://static.cninfo.com.cn/finalpage/2024-03-15/1219306493.PDF,8561144288e31ff5cce0789723233335749df2183305999d097b67a1df46d7bd,PERPETUAL_DISTRIBUTION,-1975000000,CNY,1000000.0,227,母公司永续债利息,"母公司永续债利息 (1,975) (1,975)","(1,975)","['(1,975)', '(1,975)']",1,,CONSOLIDATED,FULL_YEAR,PASS_EPS_NUMERATOR_ADJUSTMENT_NOT_ORDINARY_CASH_RETURN,False,,
1212751519,000776.SZ,广发证券,2021-12-31,2022-03-31,https://static.cninfo.com.cn/finalpage/2022-03-31/1212751519.PDF,1a99b05e005ff438b5c2d016cd108c3c11e51a9a8b1fda37e2838b373c23c73d,ORDINARY_NET_PROFIT_YTD,10841453883.56,CNY,1.0,230,归属于普通股股东的当年净利润,"归属于普通股股东的当年净利润 10,841,453,883.56 10,038,134,647.91","10,841,453,883.56","['10,841,453,883.56', '10,038,134,647.91']",1,,CONSOLIDATED,FULL_YEAR,PASS_EXPLICIT_CURRENT_ORIGINAL,False,,
1212751519,000776.SZ,广发证券,2021-12-31,2022-03-31,https://static.cninfo.com.cn/finalpage/2022-03-31/1212751519.PDF,1a99b05e005ff438b5c2d016cd108c3c11e51a9a8b1fda37e2838b373c23c73d,WEIGHTED_ORDINARY_SHARES,7621087664,SHARES,1.0,230,年末发行在外普通股的加权数,"年末发行在外普通股的加权数（股） 7,621,087,664 7,621,087,664","7,621,087,664","['7,621,087,664', '7,621,087,664']",1,,CONSOLIDATED,FULL_YEAR,PASS_REPORTED_WEIGHTED_SHARES,False,,
1212751519,000776.SZ,广发证券,2021-12-31,2022-03-31,https://static.cninfo.com.cn/finalpage/2022-03-31/1212751519.PDF,1a99b05e005ff438b5c2d016cd108c3c11e51a9a8b1fda37e2838b373c23c73d,OTHER_EQUITY_DISTRIBUTION,12661643.84,CNY,1.0,230,其他权益工具股息影响,"减：其他权益工具股息影响 12,661,643.84 -","12,661,643.84","['12,661,643.84', '-']",1,,CONSOLIDATED,FULL_YEAR,PASS_EPS_NUMERATOR_ADJUSTMENT_NOT_ORDINARY_CASH_RETURN,False,,
1212709852,600030.SH,中信证券,2021-12-31,2022-03-29,https://static.cninfo.com.cn/finalpage/2022-03-29/1212709852.PDF,cdc97e8a9aeb7a70266bb7f783cf7a16694e9d3d1799eb7a750857655d8b3f32,ORDINARY_NET_PROFIT_YTD,22941989311.35,CNY,1.0,158,归属于本公司普通股股东的当年净利润,"归属于本公司普通股股东的当年净利润 22,941,989,311.35 14,902,324,215.75","22,941,989,311.35","['22,941,989,311.35', '14,902,324,215.75']",1,,CONSOLIDATED,FULL_YEAR,PASS_EXPLICIT_CURRENT_ORIGINAL,False,,
1212709852,600030.SH,中信证券,2021-12-31,2022-03-29,https://static.cninfo.com.cn/finalpage/2022-03-29/1212709852.PDF,cdc97e8a9aeb7a70266bb7f783cf7a16694e9d3d1799eb7a750857655d8b3f32,WEIGHTED_ORDINARY_SHARES,12926776029.00,SHARES,1.0,158,本公司发行在外普通股的加权平均数,"本公司发行在外普通股的加权平均数 12,926,776,029.00 12,860,211,566.34","12,926,776,029.00","['12,926,776,029.00', '12,860,211,566.34']",1,,CONSOLIDATED,FULL_YEAR,PASS_REPORTED_WEIGHTED_SHARES,False,,
1212709852,600030.SH,中信证券,2021-12-31,2022-03-29,https://static.cninfo.com.cn/finalpage/2022-03-29/1212709852.PDF,cdc97e8a9aeb7a70266bb7f783cf7a16694e9d3d1799eb7a750857655d8b3f32,OTHER_EQUITY_DISTRIBUTION,157635616.42,CNY,1.0,158,归属于本公司其他权益持有者的当年净利润,"减：归属于本公司其他权益持有者的当
年净利润* 157,635,616.42 -","157,635,616.42","['157,635,616.42', '-']",1,,CONSOLIDATED,FULL_YEAR,PASS_EPS_NUMERATOR_ADJUSTMENT_NOT_ORDINARY_CASH_RETURN,False,,
1212626208,600036.SH,招商银行,2021-12-31,2022-03-19,https://static.cninfo.com.cn/finalpage/2022-03-19/1212626208.PDF,d657eedc6ebd56dfb3052bcb599aab34b2c5eaab42cd3c0a238aafda863f9cf6,ORDINARY_NET_PROFIT_YTD,116309000000,CNY,1000000.0,261,归属于本行普通股股东的净利润,"归属于本行普通股股东的净利润 116,309 95,691","116,309","['116,309', '95,691']",1,,CONSOLIDATED,FULL_YEAR,PASS_EXPLICIT_CURRENT_ORIGINAL,False,,
1212626208,600036.SH,招商银行,2021-12-31,2022-03-19,https://static.cninfo.com.cn/finalpage/2022-03-19/1212626208.PDF,d657eedc6ebd56dfb3052bcb599aab34b2c5eaab42cd3c0a238aafda863f9cf6,WEIGHTED_ORDINARY_SHARES,25220000000,SHARES,1000000.0,261,加权平均普通股股本数,"加权平均普通股股本数（百万股） 25,220 25,220","25,220","['25,220', '25,220']",1,,CONSOLIDATED,FULL_YEAR,PASS_REPORTED_WEIGHTED_SHARES,False,REPORTED_MILLION_SHARES,
1212626208,600036.SH,招商银行,2021-12-31,2022-03-19,https://static.cninfo.com.cn/finalpage/2022-03-19/1212626208.PDF,d657eedc6ebd56dfb3052bcb599aab34b2c5eaab42cd3c0a238aafda863f9cf6,PREFERRED_DISTRIBUTION,-1638000000,CNY,1000000.0,261,归属于本行优先股股东的净利润,"减 ：归属于本行优先股股东的净利润 (1,638) (1,651)","(1,638)","['(1,638)', '(1,651)']",1,,CONSOLIDATED,FULL_YEAR,PASS_EPS_NUMERATOR_ADJUSTMENT_NOT_ORDINARY_CASH_RETURN,False,,
