period,date,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,estimated_portfolio_variance,minimum_scaled_eigenvalue,active_strategies,target,panic_budget,panic_sd,panic_state,learned_budget,learned_sd,learned_state,breakout_budget,breakout_sd,breakout_state,panic_learned_covariance,panic_breakout_covariance,learned_breakout_covariance,panic_reference_return,learned_reference_return,breakout_reference_return
evaluation,2020-01-02,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-01-02,,2020-01-02,1,,,,0.3333333333333333,0.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,1.0,,,,0.0,0.0,0.006092446800000095
evaluation,2020-02-03,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-02-03,,2020-01-02,17,,,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,,,,0.0,0.0,0.0
evaluation,2020-03-02,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-03-02,,2020-01-02,37,,,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,,,,0.0,0.0031038186612286633,0.0
evaluation,2020-04-01,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-04-01,,2020-01-02,59,,,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,,,,0.0,0.0,0.0
evaluation,2020-05-06,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-05-06,,2020-01-02,80,,,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,,,,0.0,0.0,0.0
evaluation,2020-06-01,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-06-01,,2020-01-02,98,,,,0.3333333333333333,0.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,1.0,,,,0.0,0.0,0.0
evaluation,2020-07-01,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-07-01,,2020-01-02,118,,,,0.3333333333333333,0.3333333333333333,,0.0,0.3333333333333333,,1.0,0.3333333333333333,,0.0,,,,0.0,0.019358938707959794,0.0
evaluation,2020-08-03,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-08-03,,2020-01-02,141,,,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,,,,0.0,0.0,0.0
evaluation,2020-09-01,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-09-01,,2020-01-02,162,,,,0.3333333333333333,0.3333333333333333,,0.0,0.3333333333333333,,1.0,0.3333333333333333,,0.0,,,,0.0,0.006966748494694919,0.0
evaluation,2020-10-09,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-10-09,,2020-01-02,184,,,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,,,,0.0,0.0,0.0
evaluation,2020-11-02,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-11-02,,2020-01-02,200,,,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,,,,0.0,0.0,0.0
evaluation,2020-12-01,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-12-01,,2020-01-02,221,,,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,,,,0.0,0.0,0.0
evaluation,2021-01-04,MIN_VARIANCE_BUDGET_AVAILABLE,True,2021-01-04,2021-01-04,2020-01-06,242,3.1214236729798145e-06,0.08601977272608399,panic+learned+breakout,0.42484341982215934,0.5751565801778407,0.0023318113770822674,0.0,0.0007689889886090009,0.007529714197239865,1.0,0.42407443083355034,0.002718964483184478,1.0,5.387787638136461e-06,-2.3684116538843298e-08,-4.951229336458193e-08,0.0,0.0,0.008874794642411254
evaluation,2021-02-01,MIN_VARIANCE_BUDGET_AVAILABLE,True,2021-02-01,2021-02-01,2020-02-11,242,2.596099666270174e-06,0.043549209420193816,panic+breakout,0.0,0.8706118505284062,0.001728556334907195,0.0,0.0,0.008059705053248769,0.0,0.12938814947159383,0.004509461799906797,0.0,2.9486038285589883e-06,-4.0247725887240886e-08,1.066997757668906e-05,0.0,0.0,0.0
evaluation,2021-03-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2021-03-01,2021-02-01,2020-03-03,242,,,,0.0,0.8706118505284062,0.0,0.0,0.0,0.008338043218682542,0.0,0.12938814947159383,0.004509461799906799,0.0,,,,0.0,0.0,0.0
evaluation,2021-04-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2021-04-01,2021-02-01,2020-04-03,242,,,,0.0,0.8706118505284062,0.0,0.0,0.0,0.008338043218682544,0.0,0.12938814947159383,0.004509461799906802,0.0,,,,0.0,0.0,0.0
evaluation,2021-05-06,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2021-05-06,2021-02-01,2020-05-08,242,,,,0.0,0.8706118505284062,0.0,0.0,0.0,0.008338043218682546,0.0,0.12938814947159383,0.004509461799906803,0.0,,,,0.0,0.0,0.0
evaluation,2021-06-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2021-06-01,2021-02-01,2020-06-03,242,,,,0.0,0.8706118505284062,0.0,0.0,0.0,0.008338043218682548,0.0,0.12938814947159383,0.004507972871384133,0.0,,,,0.0,0.0,0.0
evaluation,2021-07-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2021-07-01,2021-02-01,2020-07-06,242,,,,0.0,0.8706118505284062,0.0,0.0,0.0,0.00827200860521941,1.0,0.12938814947159383,0.004282176031584105,0.0,,,,0.0,-0.00038009622734525017,0.0
evaluation,2021-08-02,MIN_VARIANCE_BUDGET_AVAILABLE,True,2021-08-02,2021-08-02,2020-08-05,242,2.3628440242250313e-06,0.058612972902463804,panic+learned+breakout,0.8608638947609115,0.8608638947609115,0.0016573136264868326,1.0,0.023249422860769645,0.0068454922334495166,0.0,0.1158866823783188,0.004282176031584103,0.0,1.4912213556052096e-08,-1.749638943023772e-08,1.087718533485392e-05,0.024801042554067898,0.0,0.0
evaluation,2021-09-01,MIN_VARIANCE_BUDGET_AVAILABLE,True,2021-09-01,2021-09-01,2020-09-04,242,3.410010550870616e-06,0.10471317788424711,panic+learned+breakout,0.0,0.7966107798438549,0.0020704026709432565,0.0,0.03894469347544838,0.006397974080481457,0.0,0.1644445266806967,0.004282176031584102,0.0,3.3424839729756446e-08,-3.6588783132936743e-08,1.0880380755584879e-05,0.0,0.0,0.0
evaluation,2021-10-08,MIN_VARIANCE_BUDGET_AVAILABLE,True,2021-10-08,2021-10-08,2020-10-12,242,3.3986432150257173e-06,0.11802393542259661,panic+learned+breakout,0.0,0.7942455682582119,0.0020704026709432582,0.0,0.045984389935973334,0.006026476855450541,0.0,0.15977004180581475,0.0042821760315841,0.0,-2.1313965373960154e-09,-3.6588783132936724e-08,1.0829661864823635e-05,0.0,0.0,0.0
evaluation,2021-11-01,MIN_VARIANCE_BUDGET_AVAILABLE,True,2021-11-01,2021-11-01,2020-11-03,242,3.4321170751350966e-06,0.1173645491078983,panic+learned+breakout,0.19828738388132378,0.8017126161186763,0.0020704026709432596,0.0,0.04892286565546866,0.006043423823701834,1.0,0.14936451822585511,0.004417744004055657,1.0,-4.1526716768089315e-09,-2.861981085476168e-08,1.1037680938739429e-05,0.0,-0.0032073896151796344,-0.0031975716948766664
evaluation,2021-12-01,MIN_VARIANCE_BUDGET_AVAILABLE,True,2021-12-01,2021-12-01,2020-12-03,242,3.478156400719016e-06,0.10709026517362702,panic+learned+breakout,0.04347811615923804,0.8116289484184775,0.0020704026709432613,0.0,0.04347811615923804,0.0063267310759744745,1.0,0.14489293542228446,0.004523315677909846,0.0,5.306918718393306e-09,-8.118954020733383e-09,1.1964197682450192e-05,0.0,0.002642803631357271,-0.0008089112262399389
evaluation,2022-01-04,MIN_VARIANCE_BUDGET_AVAILABLE,True,2022-01-04,2022-01-04,2021-01-06,242,3.3864190796792156e-06,0.1080002803423648,panic+learned+breakout,0.0,0.7891396214476862,0.0020704026709432635,0.0,0.04071706505426641,0.006299989013019318,0.0,0.17014331349804732,0.004160416267061967,0.0,-1.2755542751274465e-09,2.21635705005778e-08,1.041105264953275e-05,0.0,0.0,0.0
