period,cost,cycles,losing_cycles,net_profit,largest_three_positive_profit,largest_three_vs_net_profit
evaluation,BASE,34,18,35390.5412,41728.53698000001,1.1790872805302004
evaluation,STRESS,34,18,31297.274720000016,40926.155640000026,1.3076587660153947
earlier_diagnostic,BASE,22,8,43777.25495999997,44421.7863,1.0147229729362646
earlier_diagnostic,STRESS,22,9,40348.35052000004,43921.73163999998,1.0885632516310344
