period,cost,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,-23812.308319999982,-25668.399999999972,3080.7999999999997,320.3083200000002,904.4000000000301
evaluation,STRESS,-24688.50168000016,-25601.59999999997,3067.2000000000003,558.10168,1596.0
earlier_diagnostic,BASE,4666.563840000075,5413.8000000000175,-325.5,115.53616,306.2000000000294
earlier_diagnostic,STRESS,4222.6215200001025,5419.000000000022,-325.5,228.0784799999999,642.7999999999965
