fit_origin,groups,cycles,rows,largest_gradient
2015-03-02,10,19,260,1.5265566588595902e-16
2015-04-01,10,19,260,1.5265566588595902e-16
2015-05-04,10,19,260,1.5265566588595902e-16
2015-06-01,11,21,354,9.835882108788496e-16
2015-07-01,13,25,390,1.0356299151581538e-15
2015-08-03,13,25,390,1.0356299151581538e-15
2015-09-01,13,25,390,1.0356299151581538e-15
2015-10-08,14,27,408,3.1051550219984847e-16
2015-11-02,14,27,408,3.1051550219984847e-16
2015-12-01,14,27,408,3.1051550219984847e-16
2016-01-04,15,30,471,2.463307335887066e-16
2016-02-01,17,33,490,2.749536709423239e-16
2016-03-01,17,33,490,2.749536709423239e-16
2016-04-01,17,33,490,2.749536709423239e-16
2016-05-03,17,33,490,2.749536709423239e-16
2016-06-01,17,33,490,2.749536709423239e-16
2016-07-01,17,33,490,2.749536709423239e-16
2016-08-01,18,37,577,2.5673907444456745e-16
2016-09-01,18,37,577,2.5673907444456745e-16
2016-10-10,18,37,577,2.5673907444456745e-16
2016-11-01,18,37,577,2.5673907444456745e-16
2016-12-01,19,40,646,1.700029006457271e-16
2017-01-03,19,40,646,1.700029006457271e-16
2017-02-03,19,40,646,1.700029006457271e-16
2017-03-01,20,43,716,2.6281060661048627e-16
2017-04-05,20,43,716,2.6281060661048627e-16
2017-05-02,20,43,716,2.6281060661048627e-16
2017-06-01,20,45,781,3.4867941867133823e-16
2017-07-03,20,45,781,3.4867941867133823e-16
2017-08-01,20,45,781,3.4867941867133823e-16
2017-09-01,20,48,841,2.875304161431558e-16
2017-10-09,20,48,841,2.875304161431558e-16
2017-11-01,20,48,841,2.875304161431558e-16
2017-12-01,20,48,841,2.875304161431558e-16
2018-01-02,20,48,841,2.875304161431558e-16
2018-02-01,20,48,841,2.875304161431558e-16
2018-03-01,20,52,990,2.740863092043355e-16
2018-04-02,20,52,986,4.978656376053436e-16
2018-05-02,20,52,1002,1.5959455978986625e-16
2018-06-01,20,52,1002,2.402592014227878e-16
2018-07-02,20,52,988,3.8250652645288596e-16
2018-08-01,20,52,988,3.8250652645288596e-16
2018-09-03,20,52,988,3.8250652645288596e-16
2018-10-08,20,52,988,3.8250652645288596e-16
2018-11-01,20,50,914,2.8622937353617317e-16
2018-12-03,20,50,914,2.8622937353617317e-16
2019-01-02,20,50,914,2.8622937353617317e-16
2019-02-01,20,50,851,2.9804717721626517e-16
2019-03-01,20,50,851,2.9804717721626517e-16
2019-04-01,20,50,851,2.9804717721626517e-16
2019-05-06,20,50,851,2.9804717721626517e-16
2019-06-03,20,55,917,1.903316913798303e-16
2019-07-01,20,55,917,1.903316913798303e-16
2019-08-01,20,55,873,3.226585665316861e-16
2019-09-02,20,55,873,3.226585665316861e-16
2019-10-08,20,54,849,6.722053469410127e-16
2019-11-01,20,54,849,6.722053469410127e-16
2019-12-02,20,53,846,8.673617379884035e-17
2020-01-02,20,53,846,8.673617379884035e-17
2020-02-03,20,52,838,1.1015494072452725e-16
2020-03-02,20,52,838,1.1015494072452725e-16
2020-04-01,20,52,819,1.2836953722228372e-16
2020-05-06,20,52,819,1.2836953722228372e-16
2020-06-01,20,55,881,1.470178145890344e-16
2020-07-01,20,55,881,1.470178145890344e-16
2020-08-03,20,55,881,1.470178145890344e-16
2020-09-01,20,55,881,1.470178145890344e-16
2020-10-09,20,57,954,1.0495077029659683e-16
2020-11-02,20,57,954,1.0495077029659683e-16
2020-12-01,20,54,868,5.898059818321144e-17
2021-01-04,20,52,800,1.4983674023749671e-16
2021-02-01,20,52,800,1.4983674023749671e-16
2021-03-01,20,51,779,1.7824283715661693e-16
2021-04-01,20,49,717,1.6566609195578508e-16
2021-05-06,20,49,717,1.6566609195578508e-16
2021-06-01,20,49,717,1.6566609195578508e-16
2021-07-01,20,49,717,1.6566609195578508e-16
2021-08-02,20,47,683,1.3791051634015616e-16
2021-09-01,20,44,542,9.454242944073599e-17
2021-10-08,20,44,542,9.454242944073599e-17
2021-11-01,20,44,542,9.454242944073599e-17
2021-12-01,20,44,542,9.454242944073599e-17
2022-01-04,20,44,542,9.454242944073599e-17
2022-02-07,20,46,604,3.7990444123892075e-16
2022-03-01,20,46,604,1.8583225236401546e-16
2022-04-01,20,46,590,1.43982048506075e-16
2022-05-05,20,46,590,1.43982048506075e-16
2022-06-01,20,46,604,1.8995222061946038e-16
2022-07-01,20,46,604,1.8995222061946038e-16
2022-08-01,20,46,604,1.8995222061946038e-16
2022-09-01,20,47,662,5.603156827405087e-16
2022-10-10,20,48,672,1.1752751549742868e-16
2022-11-01,20,44,618,1.7694179454963432e-16
2022-12-01,20,44,580,4.0679265511656126e-16
2023-01-03,20,44,580,4.0679265511656126e-16
2023-02-01,20,44,580,4.0679265511656126e-16
2023-03-01,20,44,581,3.0357660829594124e-16
2023-04-03,20,44,581,3.0357660829594124e-16
2023-05-04,20,44,582,9.86623976961809e-17
2023-06-01,20,44,582,9.86623976961809e-17
2023-07-03,20,45,590,1.6284716630732277e-16
2023-08-01,20,45,590,1.6284716630732277e-16
2023-09-01,20,40,485,1.7954387976359953e-16
2023-10-09,20,38,410,3.382710778154774e-16
2023-11-01,20,39,427,2.5326962749261384e-16
2023-12-01,20,39,427,2.5326962749261384e-16
2024-01-02,20,40,444,3.5344990823027445e-16
2024-02-01,20,40,444,3.5344990823027445e-16
2024-03-01,20,40,444,3.5344990823027445e-16
2024-04-01,20,40,444,3.5344990823027445e-16
2024-05-06,20,40,444,3.5344990823027445e-16
2024-06-03,20,41,468,1.1015494072452725e-16
2024-07-01,20,41,468,1.1015494072452725e-16
2024-08-01,20,42,503,2.3245294578089215e-16
2024-09-02,20,42,503,2.3245294578089215e-16
2024-10-08,20,42,517,2.1976778036281175e-16
2024-11-01,20,42,509,2.203098814490545e-16
2024-12-02,20,42,509,2.203098814490545e-16
2025-01-02,20,42,509,2.203098814490545e-16
2025-02-05,20,39,442,2.0296264668928643e-16
2025-03-03,20,38,426,1.3010426069826053e-16
2025-04-01,20,38,426,1.3010426069826053e-16
2025-05-06,20,38,426,1.3010426069826053e-16
2025-06-03,20,38,426,1.3010426069826053e-16
2025-07-01,20,38,426,1.3010426069826053e-16
2025-08-01,20,42,510,2.8102520310824275e-16
2025-09-01,20,42,510,2.8102520310824275e-16
2025-10-09,20,42,510,2.8102520310824275e-16
2025-11-03,20,45,588,2.740863092043355e-16
2025-12-01,20,45,588,2.740863092043355e-16
2026-01-05,20,45,588,2.740863092043355e-16
2026-02-02,20,46,590,2.220446049250313e-16
2026-03-02,20,46,580,5.5077470362263625e-17
2026-04-01,20,46,580,5.5077470362263625e-17
2026-05-06,20,46,580,2.2638141361497333e-16
2026-06-01,20,46,580,2.2638141361497333e-16
2026-07-01,20,46,580,2.2638141361497333e-16
2026-08-03,20,46,633,2.701831813833877e-16
