period,cost,control,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,REARM_RIDGE,-18847.988140000147,-16425.199999999895,-1805.199999999999,188.48814000000039,429.1000000003096
evaluation,STRESS,REARM_RIDGE,-19315.760320000147,-16134.69999999991,-1887.199999999999,360.3603199999998,933.5000000000182
earlier_diagnostic,BASE,REARM_RIDGE,-25414.234660000016,-25446.09999999999,0.0,-12.265339999999924,-19.599999999999454
earlier_diagnostic,STRESS,REARM_RIDGE,-25083.48892000009,-25147.09999999999,0.0,-24.411079999999856,-39.19999999999982
