period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,174,174,0,23,27,0,407
evaluation,STRESS,174,174,0,23,27,0,407
earlier_diagnostic,BASE,276,257,19,3,9,0,390
earlier_diagnostic,STRESS,276,257,19,3,9,0,390
