period,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,monthly_budget_checks,shared_base_budget_optimizations,mean_131_budget,maximum_131_budget,positive_131_budget_origins,new_model_fits,new_reference_accounts
evaluation,BASE,1604,340,1264,0,81,68,0.2078907564698766,1.0,583,0,0
evaluation,STRESS,1604,340,1264,0,81,68,0.2078907564698766,1.0,583,0,0
earlier_diagnostic,BASE,1219,294,925,0,61,48,0.14602132895816242,1.0,178,0,0
earlier_diagnostic,STRESS,1219,300,919,0,61,48,0.14602132895816242,1.0,178,0,0
