period,origin,status,reference_budget131,independent_objective_regret,training_terminal_open_excluded,source_cost
evaluation,2019-12-31,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-01-02,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-02-03,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-03-02,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-04-01,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-05-06,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-06-01,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-07-01,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-08-03,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-09-01,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-10-09,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-11-02,WARMUP_USE143,0.0,,True,BASE
evaluation,2020-12-01,WARMUP_USE143,0.0,,True,BASE
evaluation,2021-01-04,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2021-02-01,BUDGET_OPTIMIZATION_COMPLETE,0.1666231995871028,-1.8854980510935038e-13,True,BASE
evaluation,2021-03-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
evaluation,2021-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2021-05-06,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2021-06-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
evaluation,2021-07-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,0.0,True,BASE
evaluation,2021-08-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,0.0,True,BASE
evaluation,2021-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.5104275542228102,-1.1872582994856828e-13,True,BASE
evaluation,2021-10-08,BUDGET_OPTIMIZATION_COMPLETE,0.3054740034804206,-2.6406238578125657e-13,True,BASE
evaluation,2021-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.3898881022879017,-1.2414577439651521e-13,True,BASE
