period,origin,origin_index,decision_time,training_source_cost,available_calendar_rows,previous_valid_131_budget,training_start,training_end,status,reference_budget131,complete_pair_rows,previous_worst_block_growth,chosen_worst_block_growth,chosen_block_growths,numerical_candidate_weight
evaluation,2019-12-31,1851,2019-12-31 15:05:00,BASE,0,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-01-02,1852,2020-01-02 15:05:00,BASE,1,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-02-03,1868,2020-02-03 15:05:00,BASE,17,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-03-02,1888,2020-03-02 15:05:00,BASE,37,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-04-01,1910,2020-04-01 15:05:00,BASE,59,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-05-06,1931,2020-05-06 15:05:00,BASE,80,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-06-01,1949,2020-06-01 15:05:00,BASE,98,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-07-01,1969,2020-07-01 15:05:00,BASE,118,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-08-03,1992,2020-08-03 15:05:00,BASE,141,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-09-01,2013,2020-09-01 15:05:00,BASE,162,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-10-09,2035,2020-10-09 15:05:00,BASE,184,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-11-02,2051,2020-11-02 15:05:00,BASE,200,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2020-12-01,2072,2020-12-01 15:05:00,BASE,221,0.0,,,WARMUP_USE143,0.0,,,,,
evaluation,2021-01-04,2095,2021-01-04 15:05:00,BASE,244,0.0,2020-01-06,2021-01-04,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0002623055177721419,-0.0002623055177721419,"[0.0005343066042308376, 0.0010635948395334846, -0.0002623055177721419]",0.0
evaluation,2021-02-01,2115,2021-02-01 15:05:00,BASE,264,0.0,2020-02-11,2021-02-01,BUDGET_OPTIMIZATION_COMPLETE,0.16662319958710287,242.0,0.0002480164148534017,0.0002899301734618372,"[0.0002899301734618372, 0.0008329613123789028, 0.0002899301734618373]",0.16662319958710287
evaluation,2021-03-01,2130,2021-03-01 15:05:00,BASE,279,0.16662319958710287,2020-03-03,2021-03-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,0.00014243686158819016,0.0001675531066501606,"[0.0001675531066501606, 0.0008067518803891187, 0.0007380951135515072]",1.0
evaluation,2021-04-01,2153,2021-04-01 15:05:00,BASE,302,1.0,2020-04-03,2021-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00026311043600789,-0.0002180210386140603,"[0.0010225487001009846, -0.0002180210386140603, 0.00035035578649055145]",0.0
evaluation,2021-05-06,2174,2021-05-06 15:05:00,BASE,323,0.0,2020-05-08,2021-05-06,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0002880593203461185,-0.0002880593203461185,"[0.001092586981833043, -0.0002880593203461185, 0.00035035578649055134]",0.0
evaluation,2021-06-01,2192,2021-06-01 15:05:00,BASE,341,0.0,2020-06-03,2021-06-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,0.00010233937163714975,0.00023963344888783383,"[0.0009315462567425122, 0.0005350665472485433, 0.00023963344888783383]",1.0
evaluation,2021-07-01,2213,2021-07-01 15:05:00,BASE,362,1.0,2020-07-06,2021-07-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,1.6584158617735397e-05,1.6584158617735397e-05,"[0.00043312386161861076, 0.0007289828281990193, 1.6584158617735397e-05]",1.0
evaluation,2021-08-02,2235,2021-08-02 15:05:00,BASE,384,1.0,2020-08-05,2021-08-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0007537072607161292,-0.0002180210386140603,"[-0.0002180210386140603, 0.0003460304064104211, 0.00021011066635689694]",0.0
evaluation,2021-09-01,2257,2021-09-01 15:05:00,BASE,406,0.0,2020-09-04,2021-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.5104275542228102,242.0,-0.00017506480897442123,-0.0001544013333432107,"[-0.0001544013333432107, 0.0004157563528498768, -0.00015440133334320683]",0.5104275542228102
evaluation,2021-10-08,2277,2021-10-08 15:05:00,BASE,426,0.5104275542228102,2020-10-12,2021-10-08,BUDGET_OPTIMIZATION_COMPLETE,0.30547400348042064,242.0,-0.00011761044523970487,0.0001182284223368278,"[0.0003207916263286491, 0.0001182284223368278, 0.00011822842233683176]",0.30547400348042064
evaluation,2021-11-01,2293,2021-11-01 15:05:00,BASE,442,0.30547400348042064,2020-11-03,2021-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.3898881022879017,242.0,1.7585699633057719e-06,3.6904302985474313e-06,"[0.000495769547201238, 3.6904302985476266e-06, 3.6904302985474313e-06]",0.3898881022879017
evaluation,2021-12-01,2315,2021-12-01 15:05:00,BASE,464,0.3898881022879017,2020-12-03,2021-12-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00015933222671805198,0.00020751670751298468,"[0.00034603040641042115, 0.00020751670751298468, 0.00024036944243959884]",0.0
evaluation,2022-01-04,2338,2022-01-04 15:05:00,BASE,487,0.0,2021-01-06,2022-01-04,BUDGET_OPTIMIZATION_COMPLETE,0.22769652461436574,242.0,8.240746341693258e-05,0.00018487831964014972,"[0.0003307036990473713, 0.00018487831964015451, 0.00018487831964014972]",0.22769652461436574
evaluation,2022-02-07,2357,2022-02-07 15:05:00,BASE,506,0.22769652461436574,2021-02-02,2022-02-07,BUDGET_OPTIMIZATION_COMPLETE,0.2675986018096663,242.0,0.00013204008520666796,0.00013746091800273175,"[0.00013746091800273175, 0.0001374609180027362, 0.00020277214417909828]",0.2675986018096663
evaluation,2022-03-01,2373,2022-03-01 15:05:00,BASE,522,0.2675986018096663,2021-03-03,2022-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.38690693511685326,242.0,2.1991419307618135e-06,5.408479861362868e-06,"[5.408479861362868e-06, 5.408479861366439e-06, 0.00024044857601620396]",0.38690693511685326
evaluation,2022-04-01,2396,2022-04-01 15:05:00,BASE,545,0.38690693511685326,2021-04-06,2022-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.08575063159100091,242.0,-0.0001565065300227311,0.00012729973480054627,"[0.00012729973480054627, 0.00021958552290688045, 0.0001272997348005475]",0.08575063159100091
