period,cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,LEARNED_HALF_THEN_NATURAL,2020—2021,0.1368973955999997,0.06597245604238562,0.06982287121968009,0.1095528117100641,0.6373444015701679,-0.10364904453823587,486,0.29757297186231213,14,421.52088000000003,1238.3999999999999,False,3.751665644813329e-11
evaluation,BASE,LEARNED_HALF_THEN_NATURAL,2022—2023,-0.007445123309067533,-0.003729516300451433,-0.002868172883631448,0.04176441861797405,-0.06867503436039882,-0.062445298851238146,484,0.11063514246861314,7,202.76826,672.700000000009,False,3.728928277269006e-11
evaluation,BASE,LEARNED_HALF_THEN_NATURAL,2024—终点,0.23274565540170508,0.08314530829346982,0.08391010919048025,0.0905017242502618,0.9271658621491681,-0.08108436636607526,634,0.27124976431390513,21,734.52184,2250.399999999948,False,7.253220246639103e-11
evaluation,BASE,REARM_RIDGE,2020—2021,0.1663198072000002,0.07962104264508806,0.08245522884674879,0.1086663946818792,0.7587923487121885,-0.10591213630792773,486,0.25676585593013096,16,729.43856,2141.999999999996,False,3.370814738445915e-11
evaluation,BASE,REARM_RIDGE,2022—2023,0.005564228918978942,0.0027782551087647826,0.00329782320067995,0.032454496432216574,0.10161375350770512,-0.030540113727666924,484,0.04122834998925287,6,282.86591999999996,968.7999999999935,False,2.1827872842550278e-11
evaluation,BASE,REARM_RIDGE,2024—终点,0.20707404360082232,0.0744794591835167,0.07471553416941837,0.0764354412650291,0.9774985652317071,-0.06698872331367774,634,0.1684463548693552,26,1365.41982,4075.8999999997973,False,5.3006488087703474e-11
evaluation,BASE,REARM_NONE,2020—2021,0.04400220419999838,0.02167373207146734,0.03260098195186103,0.1496076638227211,0.21790983910083542,-0.1690496354794326,486,0.4183391228564302,9,380.55916,1126.800000000035,False,2.7284841053187847e-11
evaluation,BASE,REARM_NONE,2022—2023,-0.02843483412254672,-0.014319947509612387,-0.012434896104338955,0.06313473880943042,-0.19695806680808756,-0.11206205692438281,484,0.18144360545945995,5,202.9059,669.4000000000328,False,2.773958840407431e-11
evaluation,BASE,REARM_NONE,2024—终点,0.23248055417211846,0.08305639228313215,0.08892454618756561,0.13553448234509594,0.6561027470569978,-0.12525382746917782,634,0.4402765724393236,14,666.8427200000001,2078.200000000024,False,7.02584657119587e-11
evaluation,BASE,ORIGINAL_TWO,2020—2021,0.14339005880000066,0.06899940719231859,0.06854568955193548,0.0604872091891418,1.1332261889880724,-0.05388667659424196,486,0.14756746264439047,19,443.38824,1315.8000000000125,False,4.474998149817111e-11
evaluation,BASE,ORIGINAL_TWO,2022—2023,0.002938889379121317,0.0014683666392670022,0.0015992527955804858,0.016279330935921797,0.09823823852929925,-0.015408253967918019,484,0.020720453760739634,6,138.44062000000002,473.89999999999657,False,3.744560217455728e-11
