event_id,event_origin_start,event_origin_end,event_entry_start,event_entry_end,event_horizon_end,first_breach_date,positive_origin_count,positive_training_weight_sum,split_group_id,bootstrap_event_block_id,calendar_year_block_id
BAD10_V2_EVENT_0001,2015-01-05,2015-02-04,2015-01-06,2015-02-05,2015-02-25,2015-01-19,19,1.0,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015
BAD10_V2_EVENT_0002,2015-04-22,2015-05-04,2015-04-23,2015-05-05,2015-05-18,2015-05-06,8,1.0,BAD10_V2_EVENT_0002,BAD10_V2_EVENT_0002,CALENDAR_YEAR_2015
BAD10_V2_EVENT_0003,2015-05-25,2015-09-21,2015-05-26,2015-09-22,2015-10-12,2015-05-28,54,1.0,BAD10_V2_EVENT_0003,BAD10_V2_EVENT_0003,CALENDAR_YEAR_2015
BAD10_V2_EVENT_0004,2015-10-23,2015-10-23,2015-10-26,2015-10-26,2015-11-06,2015-11-03,1,1.0,BAD10_V2_EVENT_0004,BAD10_V2_EVENT_0004,CALENDAR_YEAR_2015
BAD10_V2_EVENT_0005,2015-11-16,2015-11-26,2015-11-17,2015-11-27,2015-12-10,2015-11-27,9,1.0,BAD10_V2_EVENT_0005,BAD10_V2_EVENT_0005,CALENDAR_YEAR_2015
BAD10_V2_EVENT_0006,2015-12-18,2016-01-25,2015-12-21,2016-01-26,2016-02-15,2016-01-04,26,1.0,BAD10_V2_EVENT_0006,BAD10_V2_EVENT_0006,CALENDAR_YEAR_2016
BAD10_V2_EVENT_0007,2016-02-16,2016-02-24,2016-02-17,2016-02-25,2016-03-09,2016-02-25,7,1.0,BAD10_V2_EVENT_0007,BAD10_V2_EVENT_0007,CALENDAR_YEAR_2016
BAD10_V2_EVENT_0008,2016-05-03,2016-05-05,2016-05-04,2016-05-06,2016-05-19,2016-05-09,3,1.0,BAD10_V2_EVENT_0008,BAD10_V2_EVENT_0008,CALENDAR_YEAR_2016
BAD10_V2_EVENT_0009,2016-11-29,2016-12-09,2016-11-30,2016-12-12,2016-12-23,2016-12-12,8,1.0,BAD10_V2_EVENT_0009,BAD10_V2_EVENT_0009,CALENDAR_YEAR_2016
BAD10_V2_EVENT_0010,2017-11-21,2017-11-22,2017-11-22,2017-11-23,2017-12-06,2017-11-27,2,1.0,BAD10_V2_EVENT_0010,BAD10_V2_EVENT_0010,CALENDAR_YEAR_2017
BAD10_V2_EVENT_0011,2018-01-23,2018-02-07,2018-01-24,2018-02-08,2018-02-28,2018-02-06,12,1.0,BAD10_V2_EVENT_0011,BAD10_V2_EVENT_0011,CALENDAR_YEAR_2018
BAD10_V2_EVENT_0012,2018-03-09,2018-03-21,2018-03-12,2018-03-22,2018-04-04,2018-03-23,9,1.0,BAD10_V2_EVENT_0012,BAD10_V2_EVENT_0012,CALENDAR_YEAR_2018
