block_id,origin_date,entry_date,horizon_end_date,minimum_path_return
NON_EVENT_BLOCK_0001,2015-02-25,2015-02-26,2015-03-11,0.001734104046242857
NON_EVENT_BLOCK_0002,2015-03-11,2015-03-12,2015-03-25,0.011305822498586693
NON_EVENT_BLOCK_0003,2015-03-25,2015-03-26,2015-04-09,0.00512820512820511
NON_EVENT_BLOCK_0004,2016-03-09,2016-03-10,2016-03-23,-0.014135437212360213
NON_EVENT_BLOCK_0005,2016-03-23,2016-03-24,2016-04-07,-0.022492970946579205
NON_EVENT_BLOCK_0006,2016-04-07,2016-04-08,2016-04-21,-0.009119496855346076
NON_EVENT_BLOCK_0007,2016-05-19,2016-05-20,2016-06-02,0.0032808398950130435
NON_EVENT_BLOCK_0008,2016-06-02,2016-06-03,2016-06-20,-0.02941176470588236
NON_EVENT_BLOCK_0009,2016-06-20,2016-06-21,2016-07-04,-0.01373801916932893
NON_EVENT_BLOCK_0010,2016-07-04,2016-07-05,2016-07-18,0.002491435689816246
NON_EVENT_BLOCK_0011,2016-07-18,2016-07-19,2016-08-01,-0.02478090057419169
NON_EVENT_BLOCK_0012,2016-08-01,2016-08-02,2016-08-15,0.0027898326100432858
NON_EVENT_BLOCK_0013,2016-08-15,2016-08-16,2016-08-29,-0.02776974255134501
NON_EVENT_BLOCK_0014,2016-08-29,2016-08-30,2016-09-12,-0.013678263455248252
NON_EVENT_BLOCK_0015,2016-09-12,2016-09-13,2016-09-28,-0.010244049412473588
NON_EVENT_BLOCK_0016,2016-09-28,2016-09-29,2016-10-19,0.00333232353832158
NON_EVENT_BLOCK_0017,2016-10-19,2016-10-20,2016-11-02,-0.0008883624518802868
NON_EVENT_BLOCK_0018,2016-11-02,2016-11-03,2016-11-16,0.00798344175044341
NON_EVENT_BLOCK_0019,2016-12-23,2016-12-26,2017-01-09,-0.00029815146094214207
NON_EVENT_BLOCK_0020,2017-01-09,2017-01-10,2017-01-23,-0.01462415911085102
NON_EVENT_BLOCK_0021,2017-01-23,2017-01-24,2017-02-13,-0.0002975304968759751
NON_EVENT_BLOCK_0022,2017-02-13,2017-02-14,2017-02-27,-0.0037889828038472073
NON_EVENT_BLOCK_0023,2017-02-27,2017-02-28,2017-03-13,-0.004947613504074466
NON_EVENT_BLOCK_0024,2017-03-13,2017-03-14,2017-03-27,-0.004918981481481399
NON_EVENT_BLOCK_0025,2017-03-27,2017-03-28,2017-04-12,-0.012953367875647825
NON_EVENT_BLOCK_0026,2017-04-12,2017-04-13,2017-04-26,-0.021160995138690297
NON_EVENT_BLOCK_0027,2017-04-26,2017-04-27,2017-05-11,-0.029668411867364797
NON_EVENT_BLOCK_0028,2017-05-11,2017-05-12,2017-05-25,0.008654133094598615
NON_EVENT_BLOCK_0029,2017-05-25,2017-05-26,2017-06-12,-0.006309148264984299
NON_EVENT_BLOCK_0030,2017-06-12,2017-06-13,2017-06-26,-0.010641276953234469
NON_EVENT_BLOCK_0031,2017-06-26,2017-06-27,2017-07-10,-0.01382488479262678
NON_EVENT_BLOCK_0032,2017-07-10,2017-07-11,2017-07-24,0.003260869565217428
NON_EVENT_BLOCK_0033,2017-07-24,2017-07-25,2017-08-07,-0.012894736842105292
NON_EVENT_BLOCK_0034,2017-08-07,2017-08-08,2017-08-21,-0.022198731501057
NON_EVENT_BLOCK_0035,2017-08-21,2017-08-22,2017-09-04,-0.0007903055848260676
NON_EVENT_BLOCK_0036,2017-09-04,2017-09-05,2017-09-18,-0.00486805021778125
NON_EVENT_BLOCK_0037,2017-09-18,2017-09-19,2017-10-09,-0.008691206543967267
NON_EVENT_BLOCK_0038,2017-10-09,2017-10-10,2017-10-23,0.0020304568527917954
NON_EVENT_BLOCK_0039,2017-10-23,2017-10-24,2017-11-06,0.008780732563973936
NON_EVENT_BLOCK_0040,2017-11-06,2017-11-07,2017-11-20,0.007845060063741194
NON_EVENT_BLOCK_0041,2017-12-06,2017-12-07,2017-12-20,-0.010091065714988745
NON_EVENT_BLOCK_0042,2017-12-20,2017-12-21,2018-01-04,-0.008862629246676579
NON_EVENT_BLOCK_0043,2018-01-04,2018-01-05,2018-01-18,0.0019143335726250488
NON_EVENT_BLOCK_0044,2018-04-26,2018-04-27,2018-05-14,-0.0031864046733934837
NON_EVENT_BLOCK_0045,2019-01-04,2019-01-07,2019-01-18,-0.0006432936635573094
NON_EVENT_BLOCK_0046,2019-01-18,2019-01-21,2019-02-01,-0.009791535060012624
NON_EVENT_BLOCK_0047,2019-02-01,2019-02-11,2019-02-22,0.016949152542372836
NON_EVENT_BLOCK_0048,2019-05-17,2019-05-20,2019-05-31,-0.013758943313153527
NON_EVENT_BLOCK_0049,2019-05-31,2019-06-03,2019-06-17,-0.021124828532235962
NON_EVENT_BLOCK_0050,2019-06-17,2019-06-18,2019-07-01,0.0008156606851550396
NON_EVENT_BLOCK_0051,2019-07-01,2019-07-02,2019-07-15,-0.033383915022761834
NON_EVENT_BLOCK_0052,2019-08-14,2019-08-15,2019-08-28,0.019836956521739113
NON_EVENT_BLOCK_0053,2019-08-28,2019-08-29,2019-09-11,-0.004137574347039097
NON_EVENT_BLOCK_0054,2019-09-11,2019-09-12,2019-09-26,-0.025685785536159522
NON_EVENT_BLOCK_0055,2019-09-26,2019-09-27,2019-10-17,-0.01124456938410412
NON_EVENT_BLOCK_0056,2019-10-17,2019-10-18,2019-10-31,-0.015033826108744708
NON_EVENT_BLOCK_0057,2019-10-31,2019-11-01,2019-11-14,0.004822335025380653
NON_EVENT_BLOCK_0058,2019-11-14,2019-11-15,2019-11-28,-0.01387837496845823
NON_EVENT_BLOCK_0059,2019-11-28,2019-11-29,2019-12-12,-0.008924018357980623
NON_EVENT_BLOCK_0060,2019-12-12,2019-12-13,2019-12-26,0.010193679918450549
NON_EVENT_BLOCK_0061,2020-03-31,2020-04-01,2020-04-15,0.002456331877729312
NON_EVENT_BLOCK_0062,2020-04-15,2020-04-16,2020-04-29,0.003978779840848823
NON_EVENT_BLOCK_0063,2020-04-29,2020-04-30,2020-05-18,0.009573091849935267
NON_EVENT_BLOCK_0064,2020-05-18,2020-05-19,2020-06-01,-0.03417721518987349
