event_id,event_origin_start,event_origin_end,event_entry_start,event_entry_end,event_horizon_end,bad10_origin_count,worst_minimum_path_return,worst_origin_date,first_breach_date
BAD10_EVENT_0001,2015-01-05,2015-02-04,2015-01-06,2015-02-05,2015-02-25,19,-0.10239651416122009,2015-01-07,2015-01-19
BAD10_EVENT_0002,2015-04-22,2015-05-04,2015-04-23,2015-05-05,2015-05-18,8,-0.06542252044453767,2015-04-27,2015-05-06
BAD10_EVENT_0003,2015-05-25,2015-09-21,2015-05-26,2015-09-22,2015-10-12,54,-0.29210956663941134,2015-06-24,2015-05-28
BAD10_EVENT_0004,2015-10-23,2015-10-23,2015-10-26,2015-10-26,2015-11-06,1,-0.04582651391162018,2015-10-23,2015-11-03
BAD10_EVENT_0005,2015-11-16,2015-11-26,2015-11-17,2015-11-27,2015-12-10,9,-0.06431535269709543,2015-11-25,2015-11-27
BAD10_EVENT_0006,2015-12-18,2016-01-25,2015-12-21,2016-01-26,2016-02-15,26,-0.167610710607621,2015-12-25,2016-01-04
BAD10_EVENT_0007,2016-02-16,2016-02-24,2016-02-17,2016-02-25,2016-03-09,7,-0.07672469374597035,2016-02-22,2016-02-25
BAD10_EVENT_0008,2016-05-03,2016-05-05,2016-05-04,2016-05-06,2016-05-19,3,-0.04651888854199193,2016-05-05,2016-05-09
BAD10_EVENT_0009,2016-11-29,2016-12-09,2016-11-30,2016-12-12,2016-12-23,8,-0.0642227122381478,2016-12-01,2016-12-12
BAD10_EVENT_0010,2017-11-21,2017-11-22,2017-11-22,2017-11-23,2017-12-06,2,-0.05435036155819917,2017-11-21,2017-11-27
BAD10_EVENT_0011,2018-01-23,2018-02-07,2018-01-24,2018-02-08,2018-02-28,12,-0.12923777019340155,2018-01-26,2018-02-06
BAD10_EVENT_0012,2018-03-09,2018-03-21,2018-03-12,2018-03-22,2018-04-04,9,-0.06308068459657701,2018-03-15,2018-03-23
BAD10_EVENT_0013,2018-04-10,2018-04-12,2018-04-11,2018-04-13,2018-04-26,3,-0.048247841543930914,2018-04-10,2018-04-17
BAD10_EVENT_0014,2018-05-16,2018-06-29,2018-05-17,2018-07-02,2018-07-13,21,-0.09314495028780745,2018-06-12,2018-05-30
BAD10_EVENT_0015,2018-07-20,2018-09-04,2018-07-23,2018-09-05,2018-09-18,18,-0.0840659340659341,2018-07-24,2018-08-02
