origin_date,entry_date,horizon_end_date,bad10,event_id,sample_group_id,bootstrap_event_block_id,calendar_year_block_id,training_weight,split_assignment
2015-01-05,2015-01-06,2015-01-19,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-06,2015-01-07,2015-01-20,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-07,2015-01-08,2015-01-21,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-08,2015-01-09,2015-01-22,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-09,2015-01-12,2015-01-23,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-12,2015-01-13,2015-01-26,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-13,2015-01-14,2015-01-27,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-14,2015-01-15,2015-01-28,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-15,2015-01-16,2015-01-29,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-16,2015-01-19,2015-01-30,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-19,2015-01-20,2015-02-02,0,,NON_EVENT_DAY_20150119,NON_EVENT_DAY_20150119,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-20,2015-01-21,2015-02-03,0,,NON_EVENT_DAY_20150120,NON_EVENT_DAY_20150120,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-21,2015-01-22,2015-02-04,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-22,2015-01-23,2015-02-05,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-23,2015-01-26,2015-02-06,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-26,2015-01-27,2015-02-09,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-27,2015-01-28,2015-02-10,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-28,2015-01-29,2015-02-11,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-29,2015-01-30,2015-02-12,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-01-30,2015-02-02,2015-02-13,0,,NON_EVENT_DAY_20150130,NON_EVENT_DAY_20150130,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-02,2015-02-03,2015-02-16,0,,NON_EVENT_DAY_20150202,NON_EVENT_DAY_20150202,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-03,2015-02-04,2015-02-17,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-04,2015-02-05,2015-02-25,1,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,BAD10_V2_EVENT_0001,CALENDAR_YEAR_2015,0.05263157894736842,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-05,2015-02-06,2015-02-26,0,,NON_EVENT_DAY_20150205,NON_EVENT_DAY_20150205,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-06,2015-02-09,2015-02-27,0,,NON_EVENT_DAY_20150206,NON_EVENT_DAY_20150206,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-09,2015-02-10,2015-03-02,0,,NON_EVENT_DAY_20150209,NON_EVENT_DAY_20150209,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-10,2015-02-11,2015-03-03,0,,NON_EVENT_DAY_20150210,NON_EVENT_DAY_20150210,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-11,2015-02-12,2015-03-04,0,,NON_EVENT_DAY_20150211,NON_EVENT_DAY_20150211,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-12,2015-02-13,2015-03-05,0,,NON_EVENT_DAY_20150212,NON_EVENT_DAY_20150212,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-13,2015-02-16,2015-03-06,0,,NON_EVENT_DAY_20150213,NON_EVENT_DAY_20150213,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-16,2015-02-17,2015-03-09,0,,NON_EVENT_DAY_20150216,NON_EVENT_DAY_20150216,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-17,2015-02-25,2015-03-10,0,,NON_EVENT_DAY_20150217,NON_EVENT_DAY_20150217,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-25,2015-02-26,2015-03-11,0,,NON_EVENT_DAY_20150225,NON_EVENT_DAY_20150225,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-26,2015-02-27,2015-03-12,0,,NON_EVENT_DAY_20150226,NON_EVENT_DAY_20150226,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-02-27,2015-03-02,2015-03-13,0,,NON_EVENT_DAY_20150227,NON_EVENT_DAY_20150227,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
2015-03-02,2015-03-03,2015-03-16,0,,NON_EVENT_DAY_20150302,NON_EVENT_DAY_20150302,CALENDAR_YEAR_2015,1.0,UNASSIGNED_PRE_MODEL_FREEZE
