event_id,event_min_origin_date,whole_event_max_horizon_end_date,era_id,total_positive_origin_count,b2_eligible_positive_origin_count,calendar_year_block_count,evaluation_quarter_id,model_vintage_date,training_positive_event_count,training_negative_risk_day_count,b1_and_b2_training_identifiable,event_present_in_own_training,no_event_split,no_future_training,prequential_predicted,prediction_state
BAD10_V2_EVENT_0019,2019-03-06,2019-04-01,ERA_2_2018_2020,2,2,1,2018Q4,2019-01-02,0,10,False,False,True,True,False,NO_VIEW_INSUFFICIENT_LABEL_MATURED_TRAINING_CLASSES
BAD10_V2_EVENT_0020,2019-04-12,2019-05-17,ERA_2_2018_2020,12,12,1,2019Q1,2019-04-01,0,36,False,False,True,True,False,NO_VIEW_INSUFFICIENT_LABEL_MATURED_TRAINING_CLASSES
BAD10_V2_EVENT_0022,2020-01-09,2020-02-13,ERA_2_2018_2020,10,10,1,2019Q4,2020-01-02,2,138,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0023,2020-02-20,2020-03-31,ERA_2_2018_2020,14,14,1,2019Q4,2020-01-02,2,138,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0024,2020-07-06,2020-08-03,ERA_2_2018_2020,8,3,1,2020Q2,2020-07-01,4,231,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0026,2021-01-25,2021-02-08,ERA_3_2021_2023,1,1,1,2020Q4,2021-01-04,5,297,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0027,2021-02-08,2021-03-25,ERA_3_2021_2023,16,16,1,2020Q4,2021-01-04,5,297,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0028,2021-04-02,2021-04-19,ERA_3_2021_2023,1,1,1,2021Q1,2021-04-01,7,319,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0029,2021-06-01,2021-06-16,ERA_3_2021_2023,1,1,1,2021Q1,2021-04-01,7,319,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0032,2021-12-10,2021-12-24,ERA_3_2021_2023,1,1,1,2021Q3,2021-10-08,9,393,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0033,2021-12-30,2022-01-17,ERA_3_2021_2023,2,2,1,2021Q3,2021-10-08,9,393,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0034,2022-01-17,2022-02-14,ERA_3_2021_2023,6,6,1,2021Q4,2022-01-04,10,445,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0035,2022-02-21,2022-03-25,ERA_3_2021_2023,15,15,1,2021Q4,2022-01-04,10,445,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0036,2022-04-06,2022-05-11,ERA_3_2021_2023,13,13,1,2022Q1,2022-04-01,13,480,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0037,2022-07-01,2022-08-04,ERA_3_2021_2023,6,1,1,2022Q2,2022-07-01,14,519,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0038,2022-09-07,2022-10-12,ERA_3_2021_2023,9,8,1,2022Q2,2022-07-01,14,519,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0039,2022-10-13,2022-11-09,ERA_3_2021_2023,8,8,1,2022Q3,2022-10-10,15,526,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0040,2023-01-20,2023-02-10,ERA_3_2021_2023,1,1,1,2022Q4,2023-01-03,17,575,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0041,2023-03-02,2023-03-17,ERA_3_2021_2023,2,2,1,2022Q4,2023-01-03,17,575,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0042,2023-04-17,2023-05-08,ERA_3_2021_2023,3,3,1,2023Q1,2023-04-03,19,631,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0043,2023-05-15,2023-06-05,ERA_3_2021_2023,2,2,1,2023Q1,2023-04-03,19,631,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0045,2023-09-27,2023-10-31,ERA_3_2021_2023,9,9,1,2023Q2,2023-07-03,21,685,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0046,2023-11-21,2023-12-08,ERA_3_2021_2023,4,4,1,2023Q3,2023-10-09,21,686,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0047,2023-12-28,2024-01-17,ERA_3_2021_2023,3,3,1,2023Q3,2023-10-09,21,686,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0048,2024-01-25,2024-02-19,ERA_4_2024_CUTOFF,2,2,1,2023Q4,2024-01-02,23,733,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0053,2024-12-09,2025-01-15,ERA_4_2024_CUTOFF,9,9,1,2024Q3,2024-10-08,25,833,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0054,2025-03-21,2025-04-17,ERA_4_2024_CUTOFF,9,9,1,2024Q4,2025-01-02,25,843,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0055,2025-11-07,2025-11-27,ERA_4_2024_CUTOFF,5,5,1,2025Q3,2025-10-09,27,940,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0056,2026-03-09,2026-04-01,ERA_4_2024_CUTOFF,8,8,1,2025Q4,2026-01-05,28,992,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0057,2026-05-13,2026-06-16,ERA_4_2024_CUTOFF,4,4,1,2026Q1,2026-04-01,28,1041,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
BAD10_V2_EVENT_0058,2026-06-22,2026-07-28,ERA_4_2024_CUTOFF,12,2,1,2026Q1,2026-04-01,28,1041,True,False,True,True,True,PREQUENTIAL_PREDICTION_IDENTIFIABLE
