period,cost,signal_origin_start,protection_origin,earliest_execution_date,comparison_terminal,fixed_protection_distance,protected_actual_interval_return,baseline_actual_interval_return,interval_return_difference
evaluation,BASE,2020-08-18,2020-09-09,2020-09-10,2020-09-30,0.04591873425815973,-0.039128573323242155,-0.04138266044742078,0.0022540871241786276
evaluation,BASE,2020-12-14,2021-01-19,2021-01-20,2021-01-21,0.027228392177656657,0.10013917548546214,0.10953492478419102,-0.009395749298728884
evaluation,BASE,2021-02-02,2021-02-24,2021-02-25,2021-02-26,0.04403014564513054,-0.0033067585993775683,-0.0200298319681802,0.016723073368802632
evaluation,BASE,2021-06-07,2021-06-16,2021-06-17,2021-07-21,0.03190723193079646,-0.03717613207096793,-0.02209469846781087,-0.015081433603157057
evaluation,BASE,2022-08-09,2022-08-24,2022-08-25,2022-09-02,0.026170931841253006,-0.013449839684740672,-0.023648106340068198,0.010198266655327526
evaluation,BASE,2024-03-04,2024-04-12,2024-04-15,2024-05-24,0.03450582051822147,-0.015421817836192897,0.03161001941916597,-0.047031837255358866
evaluation,BASE,2024-06-17,2024-06-25,2024-06-26,2024-07-18,0.015839408251473522,-0.02375789972352671,-0.0037776726424826323,-0.019980227081044077
evaluation,BASE,2024-08-27,2024-09-06,2024-09-09,2024-09-12,0.022558651598348495,-0.024659792386939827,-0.03441189844618775,0.009752106059247923
evaluation,BASE,2024-10-08,2024-10-09,2024-10-10,2024-10-22,0.08708538936918342,-0.05040646541584859,-0.06582214428399602,0.015415678868147431
evaluation,BASE,2025-12-18,2026-02-02,2026-02-03,2026-02-04,0.027403585238541625,0.016021800702231248,0.018591790005194397,-0.0025699893029631493
evaluation,BASE,2026-06-04,2026-06-08,2026-06-09,2026-06-23,0.030101538250226323,-0.03101404064721469,0.03288081482758942,-0.06389485547480411
evaluation,STRESS,2020-08-18,2020-09-09,2020-09-10,2020-09-30,0.04591873425815973,-0.04034378524688598,-0.04259763761717206,0.00225385237028608
evaluation,STRESS,2020-12-14,2021-01-19,2021-01-20,2021-01-21,0.027228392177656657,0.09883211114330126,0.10823516017529444,-0.009403049031993183
evaluation,STRESS,2021-02-02,2021-02-24,2021-02-25,2021-02-26,0.04403014564513054,-0.004796596194608482,-0.021519232437489877,0.016722636242881395
evaluation,STRESS,2021-06-07,2021-06-16,2021-06-17,2021-07-21,0.03190723193079646,-0.038689317415697144,-0.023613649979390416,-0.015075667436306728
evaluation,STRESS,2022-08-09,2022-08-24,2022-08-25,2022-09-02,0.026170931841253006,-0.014796179539367182,-0.024995365910876144,0.010199186371508961
