period,cost,fills,protection_triggers,maximum_target_error
evaluation,BASE,60,11,0.0
evaluation,STRESS,60,11,0.0
earlier_diagnostic,BASE,32,7,0.0
earlier_diagnostic,STRESS,32,7,0.0
