period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,11423.887540000083,3836.899999999994,14001.399999999998,1569.21246,4845.199999999931,-0.5959438694825464
evaluation,BASE,BINARY_SIGNAL_EXPOSURE,-34700.386099999654,-34538.59999999998,-550.2000000000044,-100.3139000000001,-288.099999999944,-0.07850931127290939
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-42948.55757999973,-49240.40000000002,5763.499999999998,-136.64241999999967,-391.70000000001164,-0.40574141901571015
evaluation,BASE,EPISODE_ACCOUNT_RISK_BUDGET,-19016.165719999757,-26167.70000000001,10394.799999999997,796.9657200000006,2446.299999999983,-0.3540573981435903
evaluation,BASE,BUY_HOLD,72407.65460000027,90553.29999999994,-4913.200000000004,3248.3454,9984.099999999906,0.612795968707777
evaluation,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,5252.714880000218,3267.6999999999534,13547.600000000002,3063.7851200000005,8498.799999999901,-0.5954059032162605
evaluation,STRESS,BINARY_SIGNAL_EXPOSURE,-33276.216520000016,-33504.100000000006,-529.0999999999985,-193.58347999999933,-563.3999999999942,-0.08504174382842722
evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-41551.45724000002,-48030.20000000007,5517.000000000002,-254.54276000000027,-707.2000000001135,-0.3951083602044744
evaluation,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,-21687.402640000102,-25779.20000000004,9920.0,1543.9026399999993,4284.299999999965,-0.35801282471402385
evaluation,STRESS,BUY_HOLD,59417.634160000045,88821.79999999992,-5428.700000000001,6350.665840000001,17624.799999999897,0.54066598842469
earlier_diagnostic,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,-74693.39671999982,-75959.79999999997,721.0,-130.5032799999999,-414.9000000000078,-0.8406549689343197
earlier_diagnostic,BASE,BINARY_SIGNAL_EXPOSURE,-106789.99509999974,-109155.99999999996,0.0,-591.9049,-1774.0999999999767,-0.5594084519074345
earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-99783.60359999971,-102712.29999999994,721.0,-549.8964000000001,-1657.800000000013,-0.811328085854955
earlier_diagnostic,BASE,EPISODE_ACCOUNT_RISK_BUDGET,-93861.84114000006,-95556.29999999994,721.0,-246.5588600000001,-726.8999999999824,-0.9025205545732604
earlier_diagnostic,BASE,BUY_HOLD,-20700.58323999989,-912.3000000000247,-15124.199999999997,1176.98324,3487.100000000021,-0.02128291445517
earlier_diagnostic,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,-74318.6936800002,-76031.59999999999,721.0,-259.50631999999996,-732.3999999999742,-0.8311679353513782
earlier_diagnostic,STRESS,BINARY_SIGNAL_EXPOSURE,-107112.33027999988,-111599.49999999996,0.0,-1178.7697199999998,-3308.3999999999796,-0.5575787216382337
earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-98860.94496000017,-103816.09999999999,721.0,-1093.65504,-3140.4999999999636,-0.797780893161962
earlier_diagnostic,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,-93671.66904000001,-96276.69999999998,721.0,-500.93096000000014,-1383.0999999999622,-0.8932321090366863
earlier_diagnostic,STRESS,BUY_HOLD,-20187.631520000083,3911.499999999971,-15124.199999999997,2337.83152,6637.099999999981,-0.019760744993215174
