period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,positive_signal_episodes,protective_exit_triggers,mean_target
evaluation,SIGNAL_EPISODE_PROTECTIVE_EXIT,BASE,1604,327,1277,0,30,11,0.2038653366583541
evaluation,SIGNAL_EPISODE_PROTECTIVE_EXIT,STRESS,1604,327,1277,0,30,11,0.2038653366583541
earlier_diagnostic,SIGNAL_EPISODE_PROTECTIVE_EXIT,BASE,1219,238,981,0,16,7,0.19524200164068908
earlier_diagnostic,SIGNAL_EPISODE_PROTECTIVE_EXIT,STRESS,1219,244,975,0,16,7,0.20016406890894176
