period,cost,model,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,terminal_equity,point_met
evaluation,BASE,PRIMARY_YEAR_ROBUST,-0.11075717060000063,-0.017554291658907848,-0.017149774065739008,0.03340864641130267,-0.5133334004198676,-0.12379059247468134,1604,0.05270449052463817,55,968.73412,2899.8999999999764,False,3.7402969610411674e-11,177848.56587999995,False
evaluation,BASE,PRIMARY_YEAR_ROBUST__DELAY_ONE_SESSION,-0.12151762499999891,-0.01935719309061543,-0.01892598861729339,0.03514528938396634,-0.5385071214103484,-0.14164271192472536,1604,0.0525812246925041,55,954.1250000000001,2864.400000000046,False,3.8824055081931874e-11,175696.4750000001,False
evaluation,BASE,POINT_CONTROL,-0.20523453039999884,-0.03406305927279569,-0.03332649784527457,0.051290820983717955,-0.6497555938099318,-0.22401270696176936,1604,0.13059767993719856,100,1580.80608,4907.299999999999,False,4.8203219193965197e-11,158953.09392000007,False
evaluation,BASE,POINT_CONTROL__DELAY_ONE_SESSION,-0.19733502249999746,-0.03262062691201692,-0.03160209553867698,0.05545096992714411,-0.5699105999443892,-0.23574567385063744,1604,0.13057988791967876,103,1559.0045,4796.699999999981,False,4.206412995699793e-11,160532.99550000014,False
evaluation,BASE,OLD_POINT_CANDIDATE,0.8897173806000024,0.10078061457183161,0.09917264294349587,0.08025545590562341,1.2357121621752192,-0.05463634287654498,1604,0.1224004890222065,70,2490.9238800000003,7513.300000000041,False,7.611333785462193e-11,377943.47612000024,True
evaluation,BASE,OLD_POINT_CANDIDATE__DELAY_ONE_SESSION,0.5058341157000034,0.06370631336502408,0.06531732796412282,0.08484459256430357,0.7698466807371245,-0.08826540746076604,1604,0.12186461497667556,70,2179.07686,6576.899999999971,False,7.702283255639486e-11,301166.8231400001,False
evaluation,BASE,BUY_HOLD,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.40951815967079636,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,253251.06424,False
evaluation,STRESS,PRIMARY_YEAR_ROBUST,-0.1268569716000007,-0.02025876496263566,-0.01990225605031208,0.03352345676298091,-0.5936814986302257,-0.1351814125451023,1604,0.05266451593084494,55,1918.8943200000003,5323.600000000045,False,3.842615114990622e-11,174628.60567999992,False
evaluation,STRESS,PRIMARY_YEAR_ROBUST__DELAY_ONE_SESSION,-0.13756315179999926,-0.022080745376512122,-0.021702560649996254,0.035266521200663134,-0.615387055800337,-0.15283378644950954,1604,0.05257823948131257,55,1890.5303600000002,5230.699999999972,False,3.785771696129814e-11,172487.36964000022,False
evaluation,STRESS,POINT_CONTROL,-0.23056915120000032,-0.038772723981663315,-0.0382018468527204,0.051508883776096845,-0.7416554980841636,-0.24769106871139523,1604,0.130622873176502,100,3112.3302400000002,8691.80000000003,False,3.9179326449811924e-11,153886.16976000014,False
evaluation,STRESS,POINT_CONTROL__DELAY_ONE_SESSION,-0.22586267780000202,-0.0378879384234454,-0.03704705097968507,0.055698673280522096,-0.6651334546713606,-0.2581956679845518,1604,0.13097265045640052,104,3067.0355600000007,8480.599999999904,False,3.3651303965598345e-11,154827.4644399999,False
evaluation,STRESS,OLD_POINT_CANDIDATE,0.8366097153999992,0.09605657153599358,0.09487201010184615,0.08027711132788264,1.1818064767471805,-0.05464346946994542,1604,0.12247041496619253,70,4884.65692,13328.600000000042,False,8.049028110690415e-11,367321.9430799999,False
evaluation,STRESS,OLD_POINT_CANDIDATE__DELAY_ONE_SESSION,0.4644552115999999,0.05924401585487477,0.06110923727475824,0.08480230369873219,0.7206082218220663,-0.08829817114479377,1604,0.12210904185768785,70,4273.757680000001,11685.29999999992,False,6.866684998385608e-11,292891.0423200001,False
evaluation,STRESS,BUY_HOLD,0.264858642400002,0.03608494451374265,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,252971.72848000002,False
earlier_diagnostic,BASE,PRIMARY_YEAR_ROBUST,0.029537115299999785,0.005795606261028789,0.006825052942353925,0.04574502276002288,0.14919771661625272,-0.08992648382307086,1219,0.10406742825090184,59,1405.47694,4168.200000000045,False,4.234479433762317e-11,205907.42305999994,False
earlier_diagnostic,BASE,PRIMARY_YEAR_ROBUST__DELAY_ONE_SESSION,-0.008119886100001032,-0.001617258279443626,-0.0005706238288298862,0.0457261526512828,-0.012479156800739017,-0.08089059077055914,1219,0.10232517261782167,58,1356.87722,4003.000000000084,False,4.069988790433854e-11,198376.02278,False
earlier_diagnostic,BASE,POINT_CONTROL,-0.056173904999999566,-0.011411688910697266,-0.009302593046719454,0.06594913792970965,-0.14105708336376446,-0.14138079734216696,1219,0.2074990829320777,115,2395.081,7068.400000000012,False,3.842615114990622e-11,188765.219,False
earlier_diagnostic,BASE,POINT_CONTROL__DELAY_ONE_SESSION,-0.059595901799999386,-0.012124290312458,-0.010013127477490526,0.06610323112729662,-0.15147712610610517,-0.13743802272739947,1219,0.20708540037210876,115,2371.28036,7020.399999999984,False,4.8203219193965197e-11,188080.81963999994,False
earlier_diagnostic,BASE,OLD_POINT_CANDIDATE,0.14945479610000062,0.028037734257004076,0.03162774666974983,0.08889746779307779,0.3557778129672733,-0.1329018593318648,1219,0.18147034438476353,28,853.5407799999999,2586.4,False,4.285993782104924e-11,229890.95922000008,False
earlier_diagnostic,BASE,OLD_POINT_CANDIDATE__DELAY_ONE_SESSION,0.196814163899999,0.03631104819343738,0.03951677960003671,0.08746833932029857,0.4517838100861959,-0.1423893018948348,1219,0.18146134622578203,28,858.2672200000001,2607.10000000004,False,3.736033704626607e-11,239362.83277999997,False
earlier_diagnostic,BASE,BUY_HOLD,0.2123109712000003,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.4501919403512674,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,242462.19424,False
earlier_diagnostic,STRESS,PRIMARY_YEAR_ROBUST,0.004954700800000495,0.0009816767163256786,0.0020304367357370907,0.045812037581072426,0.044321030954885536,-0.0980370947257804,1219,0.10407253001937353,59,2773.2598399999997,7847.799999999912,False,4.158096089668106e-11,200990.94016000003,False
earlier_diagnostic,STRESS,PRIMARY_YEAR_ROBUST__DELAY_ONE_SESSION,-0.03320238560000035,-0.006680942436331609,-0.005620030324076555,0.04649496852192243,-0.12087394620832369,-0.08947634084428702,1219,0.10396650966429159,59,2691.2771200000007,7602.199999999979,False,4.001776687800884e-11,193359.52288000003,False
earlier_diagnostic,STRESS,POINT_CONTROL,-0.0983186056000009,-0.020336356479468434,-0.018361092758101626,0.06609364906486273,-0.27780419174741716,-0.17080031000541382,1219,0.20738324229840444,115,4677.72112,13343.499999999918,False,6.247091732802801e-11,180336.27888000003,False
