cycle_new,entry_date_new,entry_origin,buy_debit_new,gross_price_profit_new,commission_new,slippage_new,dividend_recognized_new,held_closes_new,buy_trades_new,sell_trades_new,exit_date_new,exit_origin_new,terminal_exit_new,net_profit_new,cycle_net_return_new,cycle_old,entry_date_old,buy_debit_old,gross_price_profit_old,commission_old,slippage_old,dividend_recognized_old,held_closes_old,buy_trades_old,sell_trades_old,exit_date_old,exit_origin_old,terminal_exit_old,net_profit_old,cycle_net_return_old,_merge,period,cost
1.0,2020-02-05,2020-02-04,199940.78016,2587.2000000000407,80.43552,211.20000000002364,0.0,27.0,1.0,1.0,2020-03-13,2020-03-12,False,2295.5644800000173,0.011481221980643578,1.0,2020-02-05,199940.78016,8659.200000000012,81.64992000000001,211.2000000000002,0.0,18.0,1.0,1.0,2020-03-02,2020-02-28,False,8366.350080000011,0.04184414041650207,both,evaluation,BASE
2.0,2020-07-01,2020-06-30,201998.39160000003,22172.0,85.15976000000002,289.20000000001096,0.0,13.0,1.0,1.0,2020-07-20,2020-07-17,False,21797.64023999999,0.10790996931878534,2.0,2020-07-01,208284.64860000001,33448.100000000006,89.92718000000002,298.2000000000113,0.0,10.0,1.0,1.0,2020-07-15,2020-07-14,False,33059.972819999995,0.15872496145162374,both,evaluation,BASE
3.0,2020-08-19,2020-08-18,223577.7066,-10878.299999999988,87.18245999999999,275.40000000001044,0.0,17.0,1.0,1.0,2020-09-11,2020-09-10,False,-11240.882459999999,-0.0502772956702294,3.0,2020-08-19,241113.213,-11731.5,94.0203,297.00000000001125,0.0,17.0,1.0,1.0,2020-09-11,2020-09-10,False,-12122.520300000011,-0.050277295670229455,both,evaluation,BASE
4.0,2021-01-05,2021-01-04,211937.57903999998,1074.6000000000058,84.92524,238.80000000000905,2865.6,19.0,1.0,1.0,2021-02-01,2021-01-29,False,3616.4747599999964,0.017063867466927337,4.0,2021-01-05,228445.27992,6949.799999999988,92.69832000000001,257.39999999997167,3088.7999999999997,12.0,1.0,1.0,2021-01-21,2021-01-20,False,9688.501680000016,0.04241060127568783,both,evaluation,BASE
,,2021-02-02,,,,,,,,,,,,,,5.0,2021-02-03,238487.28791999997,-4426.799999999988,94.4384,260.40000000000987,0.0,12.0,1.0,1.0,2021-02-26,2021-02-25,False,-4781.638399999998,-0.02004986698328335,right_only,evaluation,BASE
5.0,2021-02-04,2021-02-03,215285.24844000002,827.3999999999942,86.21508,236.40000000000896,0.0,10.0,1.0,1.0,2021-02-25,2021-02-24,False,504.7849199999853,0.0023447260026302676,,,,,,,,,,,,,,,,left_only,evaluation,BASE
6.0,2021-06-08,2021-06-07,216486.08855999997,-19877.399999999965,82.55256,245.4000000000093,0.0,35.0,1.0,1.0,2021-07-28,2021-07-27,False,-20205.352559999974,-0.09333326078548451,6.0,2021-06-08,233953.18128,-4817.799999999988,92.54596000000001,265.1999999999708,0.0,30.0,1.0,1.0,2021-07-21,2021-07-20,False,-5175.545959999959,-0.02212214397634439,both,evaluation,BASE
7.0,2021-10-29,2021-10-28,196514.59506,635.2000000000116,78.66952,238.19999999997378,0.0,2.0,1.0,1.0,2021-11-02,2021-11-01,False,318.3304800000378,0.0016198821258179064,7.0,2021-10-29,228689.52876,1293.600000000035,91.66080000000001,277.2000000000105,0.0,16.0,1.0,1.0,2021-11-22,2021-11-19,False,924.7392000000243,0.004043644695995238,both,evaluation,BASE
8.0,2021-11-25,2021-11-24,197078.80788000004,-3861.2000000000116,77.99624000000001,236.40000000000896,0.0,2.0,1.0,1.0,2021-11-29,2021-11-26,False,-4175.596240000021,-0.021187444174832402,8.0,2021-11-25,229591.80918,3672.0,92.49768,275.40000000001044,0.0,10.0,1.0,1.0,2021-12-09,2021-12-08,False,3304.1023199999895,0.014391202943174567,both,evaluation,BASE
9.0,2021-12-02,2021-12-01,192527.79786,2424.2000000000116,77.43364,234.6000000000089,0.0,2.0,1.0,1.0,2021-12-06,2021-12-03,False,2112.1663600000024,0.010970708559892748,,,,,,,,,,,,,,,,left_only,evaluation,BASE
10.0,2022-05-13,2022-05-12,194750.9424,927.1999999999825,78.02144000000001,243.9999999999731,0.0,3.0,1.0,1.0,2022-05-18,2022-05-17,False,605.1785600000094,0.0031074486857015043,9.0,2022-05-13,233062.6032,5314.399999999965,94.21088,291.9999999999678,0.0,6.0,1.0,1.0,2022-05-23,2022-05-20,False,4928.189119999997,0.02114534486586391,both,evaluation,BASE
11.0,2022-06-08,2022-06-07,195618.71592,1167.500000000029,78.4093,280.2000000000106,0.0,3.0,1.0,1.0,2022-06-13,2022-06-10,False,808.8907000000185,0.004135037366929765,10.0,2022-06-08,237925.97568,-1476.7999999999884,94.78783999999999,340.8000000000129,0.0,2.0,1.0,1.0,2022-06-10,2022-06-09,False,-1912.3878400000012,-0.008037742976715072,both,evaluation,BASE
12.0,2022-08-10,2022-08-09,195992.1906,2329.999999999971,78.79128,279.6000000000106,0.0,2.0,1.0,1.0,2022-08-12,2022-08-11,False,1971.6087199999604,0.010059628977890308,11.0,2022-08-10,235527.096,-1287.999999999971,93.8672,336.00000000001273,0.0,12.0,1.0,1.0,2022-08-26,2022-08-25,False,-1717.8671999999835,-0.0072937136710588225,both,evaluation,BASE
13.0,2024-02-19,2024-02-08,198210.83424,821.7999999999884,79.38588,234.79999999997415,0.0,2.0,1.0,1.0,2024-02-21,2024-02-20,False,507.61412000001417,0.002560980694856361,12.0,2024-02-19,234341.25888,7009.399999999994,95.06412,277.60000000000025,0.0,4.0,1.0,1.0,2024-02-23,2024-02-22,False,6636.735879999994,0.028320816879278145,both,evaluation,BASE
14.0,2024-06-18,2024-06-17,198895.7712,-336.0,79.43039999999999,224.00000000002507,0.0,2.0,1.0,1.0,2024-06-20,2024-06-19,False,-639.430400000025,-0.0032149019365376283,13.0,2024-06-18,241161.12258000002,-543.2000000000116,96.28220000000002,271.60000000000025,0.0,22.0,1.0,1.0,2024-07-18,2024-07-17,False,-911.0822000000119,-0.0037778983206456914,both,evaluation,BASE
15.0,2024-06-28,2024-06-27,197823.95687999998,1138.0,79.29584,227.6000000000002,0.0,2.0,1.0,1.0,2024-07-02,2024-07-01,False,831.1041599999999,0.004201231100155112,,,,,,,,,,,,,,,,left_only,evaluation,BASE
16.0,2024-08-02,2024-08-01,197719.73604000002,-1827.2000000000116,78.66096000000002,228.4000000000002,0.0,2.0,1.0,1.0,2024-08-06,2024-08-05,False,-2134.260960000012,-0.010794374920509891,14.0,2024-08-02,238579.50636000003,-2204.8000000000175,94.91664,275.60000000000025,0.0,2.0,1.0,1.0,2024-08-06,2024-08-05,False,-2575.3166400000177,-0.010794374920509905,both,evaluation,BASE
17.0,2024-08-28,2024-08-27,196289.65008,-1629.6000000000058,78.12768,232.8000000000002,0.0,2.0,1.0,1.0,2024-08-30,2024-08-29,False,-1940.527680000006,-0.009886041771479661,15.0,2024-08-28,237099.01032,-7803.3000000000175,93.20374000000001,281.199999999969,0.0,11.0,1.0,1.0,2024-09-12,2024-09-11,False,-8177.703739999986,-0.03449067007476316,both,evaluation,BASE
18.0,2024-09-04,2024-09-03,194019.39612000002,232.79999999998836,77.59224,232.8000000000002,0.0,2.0,1.0,1.0,2024-09-06,2024-09-05,False,-77.59224000001186,-0.0003999200159968617,,,,,,,,,,,,,,,,left_only,evaluation,BASE
19.0,2024-09-25,2024-09-24,194836.75956,11773.800000000017,80.22924,223.20000000002497,0.0,2.0,1.0,1.0,2024-09-27,2024-09-26,False,11470.370759999993,0.05887169744509988,16.0,2024-09-25,229404.57174,34032.59999999998,98.48430000000002,328.49999999996385,0.0,3.0,1.0,1.0,2024-09-30,2024-09-27,False,33605.61570000002,0.14649061021367776,both,evaluation,BASE
20.0,2025-04-10,2025-04-09,206267.2452,1458.0,82.7388,215.9999999999762,0.0,3.0,1.0,1.0,2025-04-15,2025-04-14,False,1159.2612000000238,0.0056201904421421135,17.0,2025-04-10,262799.74944,5159.999999999942,106.07584,275.1999999999697,0.0,9.0,1.0,1.0,2025-04-23,2025-04-22,False,4778.724159999972,0.018183899224344602,both,evaluation,BASE
21.0,2025-06-03,2025-05-30,206521.69608,2144.2999999999884,82.97918000000001,209.2000000000002,0.0,3.0,1.0,1.0,2025-06-06,2025-06-05,False,1852.1208199999883,0.00896816583998291,18.0,2025-06-03,266938.17696,-2906.8000000000466,106.11848,270.3999999999702,5948.799999999999,11.0,1.0,1.0,2025-06-18,2025-06-17,False,2665.4815199999825,0.009985388940448927,both,evaluation,BASE
22.0,2025-06-13,2025-06-12,208841.76,-4959.0,82.48644000000002,208.799999999977,4593.599999999999,3.0,1.0,1.0,2025-06-18,2025-06-17,False,-656.6864399999776,-0.003144421115776737,,,,,,,,,,,,,,,,left_only,evaluation,BASE
23.0,2025-12-19,2025-12-18,208435.1787,9478.5,85.1997,267.0000000000101,0.0,14.0,1.0,1.0,2026-01-12,2026-01-09,False,9126.30029999999,0.0437848368827195,19.0,2025-12-19,270263.14181999996,12982.5,110.61090000000002,346.2000000000131,0.0,18.0,1.0,1.0,2026-01-16,2026-01-15,False,12525.689099999987,0.04634627206525379,both,evaluation,BASE
24.0,2026-01-16,2026-01-15,217467.88488000003,-11207.899999999994,84.67502000000002,265.8000000000101,5448.9,13.0,1.0,1.0,2026-02-04,2026-02-03,False,-6109.475020000004,-0.028093688515760596,,,,,,,,,,,,,,,,left_only,evaluation,BASE
