period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,207,207,0,27,29,0,368
evaluation,STRESS,207,207,0,27,29,0,368
earlier_diagnostic,BASE,337,133,204,1,9,0,351
earlier_diagnostic,STRESS,337,133,204,1,9,0,351
