period,cost,cycles,positive_cycles,negative_cycles,net_profit,gross_price_profit,dividend_recognized,commission,slippage,held_closes,mean_held_closes,original_cycles,original_held_closes,matched_entry_origins,only_new_entry_origins,only_original_entry_origins
evaluation,BASE,29,17,12,-1253.822320000038,-4749.999999999971,12908.099999999999,2357.7223200000003,7054.200000000066,207,7.137931034482759,24,252,22,7,2
evaluation,STRESS,29,17,12,-9077.480440000061,-4449.400000000052,12580.7,4620.28044,12588.50000000001,207,7.137931034482759,24,252,22,7,2
earlier_diagnostic,BASE,9,6,3,107547.77678000004,109212.1,1939.0000000000002,921.52322,2681.7999999999693,337,37.44444444444444,9,299,9,0,0
earlier_diagnostic,STRESS,9,6,3,103251.16003999996,108361.19999999995,1939.0000000000002,1828.9399600000002,5220.100000000004,337,37.44444444444444,9,299,9,0,0
