fit_index,fit_origin,status,training_cycles,training_rows,whole_cycles_mature,original_support_identical,maximum_gradient_residual
2035,2020-10-09,FIT_COMPLETE,20,888,True,True,6.245004513516506e-17
2051,2020-11-02,FIT_COMPLETE,20,888,True,True,6.245004513516506e-17
2072,2020-12-01,FIT_COMPLETE,20,888,True,True,6.245004513516506e-17
2095,2021-01-04,FIT_COMPLETE,20,888,True,True,6.245004513516506e-17
2115,2021-02-01,FIT_COMPLETE,20,888,True,True,6.245004513516506e-17
2130,2021-03-01,FIT_COMPLETE,20,862,True,True,1.8127860323957634e-16
2153,2021-04-01,FIT_COMPLETE,20,862,True,True,1.8127860323957634e-16
2174,2021-05-06,FIT_COMPLETE,20,862,True,True,1.8127860323957634e-16
2192,2021-06-01,FIT_COMPLETE,20,862,True,True,1.8127860323957634e-16
2213,2021-07-01,FIT_COMPLETE,20,862,True,True,1.8127860323957634e-16
2235,2021-08-02,FIT_COMPLETE,20,844,True,True,1.3964523981613297e-16
2257,2021-09-01,FIT_COMPLETE,20,844,True,True,1.3964523981613297e-16
2277,2021-10-08,FIT_COMPLETE,20,844,True,True,1.3964523981613297e-16
2293,2021-11-01,FIT_COMPLETE,20,844,True,True,1.3964523981613297e-16
2315,2021-12-01,FIT_COMPLETE,20,844,True,True,1.3964523981613297e-16
2338,2022-01-04,FIT_COMPLETE,20,844,True,True,1.3964523981613297e-16
2357,2022-02-07,FIT_COMPLETE,20,892,True,True,1.2088854223213374e-16
2373,2022-03-01,FIT_COMPLETE,20,892,True,True,1.2088854223213374e-16
2396,2022-04-01,FIT_COMPLETE,20,892,True,True,1.2088854223213374e-16
2415,2022-05-05,FIT_COMPLETE,20,892,True,True,1.2088854223213374e-16
2434,2022-06-01,FIT_COMPLETE,20,892,True,True,1.2088854223213374e-16
2455,2022-07-01,FIT_COMPLETE,20,892,True,True,1.2088854223213374e-16
2476,2022-08-01,FIT_COMPLETE,20,892,True,True,1.2088854223213374e-16
2499,2022-09-01,FIT_COMPLETE,20,890,True,True,9.540979117872439e-17
2520,2022-10-10,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2536,2022-11-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2558,2022-12-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2580,2023-01-03,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2596,2023-02-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2616,2023-03-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2639,2023-04-03,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2658,2023-05-04,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2678,2023-06-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2698,2023-07-03,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2719,2023-08-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2742,2023-09-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2762,2023-10-09,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2779,2023-11-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2801,2023-12-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2822,2024-01-02,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2844,2024-02-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2859,2024-03-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2880,2024-04-01,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
2900,2024-05-06,FIT_COMPLETE,20,885,True,True,6.114900252818245e-17
