period,cost,cycles,positive_cycles,negative_cycles,net_profit,largest_positive_cycle_profit,top_two_positive_profit,initial_target,additional_buys
evaluation,BASE,20,9,11,58560.72536000004,43795.747200000056,78658.44392000005,1.0,0
evaluation,STRESS,20,8,12,51349.24900000009,42428.25215999996,76880.12615999997,1.0,0
earlier_diagnostic,BASE,17,10,7,39248.81916000002,44537.833200000015,79771.94464,1.0,0
earlier_diagnostic,STRESS,17,9,8,33210.98043999994,44166.799599999984,78369.98656,1.0,0
