period,cost,buy_trades,sell_trades,holding_closes,mean_exposure,unfilled_requests,zero_target_origins,full_target_origins,no_view_origins
evaluation,BASE,20,20,805,0.49879627171233515,0,799,805,0
evaluation,STRESS,20,20,805,0.4988428318884248,0,799,805,0
earlier_diagnostic,BASE,17,17,635,0.5202364890821372,0,583,636,0
earlier_diagnostic,STRESS,17,17,635,0.5203498085539361,0,583,636,0
