period,source_state,target,decision_origins
evaluation,VIEW_DOWN_STATE,0.0,799
evaluation,VIEW_UP_STATE,1.0,805
earlier_diagnostic,VIEW_DOWN_STATE,0.0,583
earlier_diagnostic,VIEW_UP_STATE,1.0,636
