period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,313,33,37,0,0,0.07258573088972581
evaluation,STRESS,313,33,37,0,0,0.0725867501217463
earlier_diagnostic,BASE,302,22,18,0,0,0.11209586845367593
earlier_diagnostic,STRESS,308,22,18,0,0,0.11539468429796043
