period,cost,decision_origins,independent_lstsq_residual_formula,positive_131_budget_origins,mean_131_budget,maximum_131_budget
evaluation,BASE,1604,True,838,0.22796417326702575,0.9548713459169923
evaluation,STRESS,1604,True,838,0.22796417326702575,0.9548713459169923
earlier_diagnostic,BASE,1219,True,778,0.3450748400821286,0.9479910231485131
earlier_diagnostic,STRESS,1219,True,778,0.3450748400821286,0.9479910231485131
