period,cost,decisions,fills,maximum_target_error
evaluation,BASE,1604,115,2.220446049250313e-16
evaluation,STRESS,1604,115,3.3306690738754696e-16
earlier_diagnostic,BASE,1219,63,4.440892098500626e-16
earlier_diagnostic,STRESS,1219,64,3.3306690738754696e-16
