period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,full_target_origins,mean_target
evaluation,ACCOUNT_VOLATILITY_EXPOSURE,BASE,1604,436,1168,0,184,0.18877627814358988
evaluation,ACCOUNT_VOLATILITY_EXPOSURE,STRESS,1604,436,1168,0,184,0.1888304587356554
earlier_diagnostic,ACCOUNT_VOLATILITY_EXPOSURE,BASE,1219,446,773,0,175,0.2722196877007909
earlier_diagnostic,ACCOUNT_VOLATILITY_EXPOSURE,STRESS,1219,452,767,0,179,0.27580913151900366
