period,cost,days,trend_cycles,range_cycles,unknown_factor_origins
evaluation,BASE,1604,24,11,0
evaluation,STRESS,1604,24,11,0
earlier_diagnostic,BASE,1219,18,6,0
earlier_diagnostic,STRESS,1219,18,6,0
