period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_factor_origins,mean_exposure,completed_cycles,raw_entry_origins
evaluation,BASE,421,35,35,0,0,0.26177776247617957,35,129
evaluation,STRESS,421,35,35,0,0,0.2616530461062271,35,129
earlier_diagnostic,BASE,342,24,24,0,0,0.28011340350883107,24,118
earlier_diagnostic,STRESS,342,24,24,0,0,0.28015169040920007,24,118
