period,cost,comparison,days,pnl_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,new_holding_close,parent_holding_close,both_original_states_idle
evaluation,BASE,ROUND98_MINUS_ROUND91,1604,-29435.419000000198,-30933.200000000008,598.4,-217.48100000000005,-681.8999999999862,190.0,198.0,1341.0
evaluation,BASE,ROUND98_MINUS_ROUND97,1604,-43328.925540000084,-42894.90000000001,-4086.3999999999996,-894.9744600000001,-2757.399999999916,190.0,262.0,1341.0
evaluation,STRESS,ROUND98_MINUS_ROUND91,1604,-28451.158359999943,-30757.100000000013,598.4,-431.04164000000003,-1276.500000000032,190.0,198.0,1341.0
evaluation,STRESS,ROUND98_MINUS_ROUND97,1604,-39596.07904000001,-42375.80000000002,-4026.3999999999996,-1787.5209599999998,-5018.600000000033,190.0,262.0,1341.0
earlier_diagnostic,BASE,ROUND98_MINUS_ROUND91,1219,-1597.7478600000904,-1950.8000000000375,-976.5000000000001,-310.65214,-1018.8999999999927,204.0,339.0,880.0
earlier_diagnostic,BASE,ROUND98_MINUS_ROUND97,1219,-19981.345340000145,-20031.30000000002,-1036.0,-263.15466000000004,-822.7999999999954,204.0,339.0,880.0
earlier_diagnostic,STRESS,ROUND98_MINUS_ROUND91,1219,-339.48855999999796,-1757.700000000037,-976.5000000000001,-619.41144,-1775.2999999999802,204.0,339.0,880.0
earlier_diagnostic,STRESS,ROUND98_MINUS_ROUND97,1219,-18830.02864000009,-19789.60000000003,-1036.0,-525.57136,-1469.9999999999795,204.0,339.0,880.0
