cost,model,era,days,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown
BASE,M0,2024,242,0.006134897400000309,0.006134897400000309,0.00621302753243802,0.013954201362331387,0.4452442222318615,-0.00827136504684679
BASE,M0,2025,243,0.03136599931237052,0.031234925961584514,0.03168658312296562,0.043251033050370084,0.7326202610250598,-0.019071007443962836
BASE,M0,2026_PARTIAL,146,0.010084914163916011,0.01677145068218523,0.018359680467747316,0.058946393349225655,0.31146401712783495,-0.033870330781581436
BASE,M1,2024,242,0.005627263999999683,0.005627263999999683,0.005870618673585071,0.02278916971328968,0.2576056410761457,-0.017131139940591174
BASE,M1,2025,243,0.030901875090769578,0.030772770029693686,0.03157825741354961,0.050447029092582585,0.6259686245466669,-0.04201863081928969
BASE,M1,2026_PARTIAL,146,0.03446612510394656,0.05777360975049276,0.06046585386331266,0.09293493039545019,0.6506256969905998,-0.04517095441966238
BASE,BUY_HOLD,2024,242,0.16709527199999993,0.16709527199999993,0.17777766910863813,0.21671076758416977,0.8203453436599076,-0.12240608545743946
BASE,BUY_HOLD,2025,243,0.1999965260762363,0.19909652728069926,0.19191611969443836,0.14305393664710014,1.341564756570638,-0.09899401209308649
BASE,BUY_HOLD,2026_PARTIAL,146,0.023615978876589738,0.039447403296083504,0.05469301135165107,0.17932824963772437,0.3049882629320304,-0.09339411291035049
STRESS,M0,2024,242,0.0050577976000000194,0.0050577976000000194,0.005143896501464074,0.014096820764408121,0.364897630992902,-0.00880303638919712
STRESS,M0,2025,243,0.024321363267237658,0.024220072972888168,0.02485473755493214,0.043123661658739,0.5763596271490394,-0.019905505631539366
STRESS,M0,2026_PARTIAL,146,0.004961014878805989,0.00823645642725071,0.009933083370756476,0.05900069823691869,0.1683553528615873,-0.03390368263899407
STRESS,M1,2024,242,0.003648833199999873,0.003648833199999873,0.003903889137242822,0.022903480854116684,0.17044959943462631,-0.01717338463953931
STRESS,M1,2025,243,0.02554037881782873,0.02543394898070838,0.026383900952964327,0.0504294259852846,0.5231846374904843,-0.0421110073484502
STRESS,M1,2026_PARTIAL,146,0.029016750181023114,0.04855357836557276,0.05170004183033791,0.09283281742166569,0.5569155743222327,-0.04707560462685034
STRESS,BUY_HOLD,2024,242,0.16632531600000022,0.16632531600000022,0.1771617276618176,0.21691789660361116,0.8167225039322471,-0.1224798616774214
STRESS,BUY_HOLD,2025,243,0.200128554870535,0.19922791410263016,0.19203866546167864,0.14314315049248574,1.341584733890286,-0.09905800313794678
STRESS,BUY_HOLD,2026_PARTIAL,146,0.02302860725774763,0.03845894355414453,0.053761570498381955,0.17944116803575694,0.29960555365794866,-0.09344107794766537
