period,cost,model,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips
evaluation,BASE,DYNAMIC_CONTINUATION,489,489,0,4,15
evaluation,BASE,NATURAL_SINGLE_CONFIRM,216,216,0,23,24
evaluation,STRESS,DYNAMIC_CONTINUATION,489,489,0,4,15
evaluation,STRESS,NATURAL_SINGLE_CONFIRM,216,216,0,23,24
earlier_diagnostic,BASE,DYNAMIC_CONTINUATION,312,108,204,2,9
earlier_diagnostic,BASE,NATURAL_SINGLE_CONFIRM,294,90,204,2,9
earlier_diagnostic,STRESS,DYNAMIC_CONTINUATION,312,108,204,2,9
earlier_diagnostic,STRESS,NATURAL_SINGLE_CONFIRM,294,90,204,2,9
