period,model,cost,decision_origins,positive_source_origins,zero_source_origins,unknown_source_origins,buy_allowed_origins,rebalance_band,return_cap
evaluation,BUY_GATE_BAND00_R00,BASE,1604,615,989,0,808,0.0,0.0
evaluation,BUY_GATE_BAND00_R01,BASE,1604,615,989,0,1345,0.0,0.01
evaluation,BUY_GATE_BAND20_R00,BASE,1604,615,989,0,808,0.2,0.0
evaluation,BUY_GATE_BAND20_R01,BASE,1604,615,989,0,1345,0.2,0.01
evaluation,BUY_GATE_BAND00_R00,STRESS,1604,615,989,0,808,0.0,0.0
evaluation,BUY_GATE_BAND00_R01,STRESS,1604,615,989,0,1345,0.0,0.01
evaluation,BUY_GATE_BAND20_R00,STRESS,1604,615,989,0,808,0.2,0.0
evaluation,BUY_GATE_BAND20_R01,STRESS,1604,615,989,0,1345,0.2,0.01
earlier_diagnostic,BUY_GATE_BAND00_R00,BASE,1219,524,695,0,590,0.0,0.0
earlier_diagnostic,BUY_GATE_BAND00_R01,BASE,1219,524,695,0,987,0.0,0.01
earlier_diagnostic,BUY_GATE_BAND20_R00,BASE,1219,524,695,0,590,0.2,0.0
earlier_diagnostic,BUY_GATE_BAND20_R01,BASE,1219,524,695,0,987,0.2,0.01
earlier_diagnostic,BUY_GATE_BAND00_R00,STRESS,1219,530,689,0,590,0.0,0.0
earlier_diagnostic,BUY_GATE_BAND00_R01,STRESS,1219,530,689,0,987,0.0,0.01
earlier_diagnostic,BUY_GATE_BAND20_R00,STRESS,1219,530,689,0,590,0.2,0.0
earlier_diagnostic,BUY_GATE_BAND20_R01,STRESS,1219,530,689,0,987,0.2,0.01
