period,cost,model,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,BUY_GATE_BAND00_R00,542,76,101,0,0,0.16591165109351835
evaluation,BASE,BUY_GATE_BAND00_R01,595,85,120,0,0,0.1906977149239083
evaluation,BASE,BUY_GATE_BAND20_R00,542,50,54,0,0,0.1686254719411108
evaluation,BASE,BUY_GATE_BAND20_R01,595,59,59,0,0,0.19233531483465374
evaluation,STRESS,BUY_GATE_BAND00_R00,542,72,99,0,0,0.1660697502472372
evaluation,STRESS,BUY_GATE_BAND00_R01,595,86,118,0,0,0.19088180093441934
evaluation,STRESS,BUY_GATE_BAND20_R00,542,50,54,0,0,0.16871409697166
evaluation,STRESS,BUY_GATE_BAND20_R01,595,59,59,0,0,0.19239712033140974
earlier_diagnostic,BASE,BUY_GATE_BAND00_R00,495,46,68,0,0,0.2590236993001738
earlier_diagnostic,BASE,BUY_GATE_BAND00_R01,514,51,73,0,0,0.2691749938960769
earlier_diagnostic,BASE,BUY_GATE_BAND20_R00,495,26,31,0,0,0.26603222036734486
earlier_diagnostic,BASE,BUY_GATE_BAND20_R01,514,30,32,0,0,0.2732399120824845
earlier_diagnostic,STRESS,BUY_GATE_BAND00_R00,501,48,72,0,0,0.26241213217920034
earlier_diagnostic,STRESS,BUY_GATE_BAND00_R01,520,55,82,0,0,0.2733712461154365
earlier_diagnostic,STRESS,BUY_GATE_BAND20_R00,501,27,31,0,0,0.2695477652927971
earlier_diagnostic,STRESS,BUY_GATE_BAND20_R01,520,31,32,0,0,0.27676644724693317
