model,period,cost,suppressed_buy_requests,suppressed_initial_entry_requests,suppressed_addition_requests,fills
BUY_GATE_BAND00_R00,evaluation,BASE,131,72,59,177
BUY_GATE_BAND00_R00,evaluation,STRESS,129,72,57,171
BUY_GATE_BAND00_R00,earlier_diagnostic,BASE,63,28,35,114
BUY_GATE_BAND00_R00,earlier_diagnostic,STRESS,64,28,36,120
BUY_GATE_BAND00_R01,evaluation,BASE,27,19,8,205
BUY_GATE_BAND00_R01,evaluation,STRESS,27,19,8,204
BUY_GATE_BAND00_R01,earlier_diagnostic,BASE,13,9,4,124
BUY_GATE_BAND00_R01,earlier_diagnostic,STRESS,13,9,4,137
BUY_GATE_BAND20_R00,evaluation,BASE,90,72,18,104
BUY_GATE_BAND20_R00,evaluation,STRESS,90,72,18,104
BUY_GATE_BAND20_R00,earlier_diagnostic,BASE,35,28,7,57
BUY_GATE_BAND20_R00,earlier_diagnostic,STRESS,35,28,7,58
BUY_GATE_BAND20_R01,evaluation,BASE,23,19,4,118
BUY_GATE_BAND20_R01,evaluation,STRESS,23,19,4,118
BUY_GATE_BAND20_R01,earlier_diagnostic,BASE,10,9,1,62
BUY_GATE_BAND20_R01,earlier_diagnostic,STRESS,10,9,1,63
